0.001,0.99999
0.02099,0.99364
0.04098,0.97269
0.06097,0.92812
0.08096,0.84475
0.10095,0.70978
0.12094,0.53653
0.14093,0.42717
0.16092,0.37522
0.18091,0.33347
0.2009,0.3065
0.22089,0.2879
0.24088,0.2754
0.26087,0.26726
0.28086,0.26235
0.30085,0.25989
0.32084,0.25937
0.34083,0.2604
0.36082,0.2627
0.38081,0.26605
0.4008,0.27029
0.42079,0.27527
0.44078,0.28089
0.46077,0.28706
0.48076,0.29369
0.50075,0.30074
0.52074,0.30814
0.54073,0.31584
0.56072,0.32379
0.58071,0.33198
0.6007,0.34035
0.62069,0.34888
0.64068,0.35754
0.66067,0.36631
0.68066,0.37517
0.70065,0.38409
0.72064,0.39306
0.74063,0.40205
0.76062,0.41107
0.78061,0.42008
0.8006,0.42908
0.82059,0.43805
0.84058,0.447
0.86057,0.45589
0.88056,0.46473
0.90055,0.47351
0.92054,0.48222
0.94053,0.49086
0.96052,0.49941
0.98051,0.50787
1.0005,0.51624
1.0205,0.52451
1.0405,0.53268
1.0605,0.54075
1.0805,0.54871
1.1004,0.55655
1.1204,0.56429
1.1404,0.57191
1.1604,0.57941
1.1804,0.58679
1.2004,0.59406
1.2204,0.6012
1.2404,0.60823
1.2604,0.61514
1.2804,0.62192
1.3003,0.62859
1.3203,0.63513
1.3403,0.64156
1.3603,0.64787
1.3803,0.65406
1.4003,0.66013
1.4203,0.66609
1.4403,0.67193
1.4603,0.67766
1.4803,0.68328
1.5003,0.68879
1.5202,0.69419
1.5402,0.69948
1.5602,0.70466
1.5802,0.70974
1.6002,0.71472
1.6202,0.71959
1.6402,0.72437
1.6602,0.72905
1.6802,0.73363
1.7002,0.73812
1.7201,0.74251
1.7401,0.74682
1.7601,0.75103
1.7801,0.75516
1.8001,0.7592
1.8201,0.76316
1.8401,0.76704
1.8601,0.77083
1.8801,0.77455
1.9,0.77819
1.92,0.78175
1.94,0.78525
1.96,0.78866
1.98,0.79201
2,0.79529
