# Generated by QuTiP: 1050x6 real matrix in decimal format [',' separated values].
0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2.0019065777,0.4000759905,0.4068893923,0.5571802751,0.8205268400,0.4961349066
4.0038131554,0.7480342421,0.7506126512,0.8143104583,0.9911724876,1.0602587355
6.0057197331,0.9032420617,0.9009075453,0.8366586233,0.9893594595,0.8904568794
8.0076263108,0.9641198941,0.9639441075,1.0458757887,1.0201305424,0.5037466897
10.0095328885,0.9866363599,0.9955307199,0.9987745578,1.0318272789,0.2505490225
12.0114394662,0.9944953336,0.9895779287,1.0108643018,1.0283159630,0.2086847852
14.0133460439,0.9974776703,0.9921416772,1.0003694678,1.0367807586,0.1968877692
16.0152526215,0.9988185747,0.9965252996,0.9897754217,1.0399762542,0.1540129715
18.0171591992,0.9993777553,0.9901884189,0.9721658050,1.0259850454,0.1033582519
20.0190657769,0.9994142459,0.9957023074,0.9999157525,1.0356700469,0.0757622845
22.0209723546,1.0015810883,1.0137249895,0.9997062304,1.0446340715,0.0713454047
24.0228789323,0.9998370523,1.0290574936,0.9997227024,1.0209701686,0.0743408448
26.0247855100,0.9954954966,1.0140573168,1.0011795691,1.0260529778,0.0722660478
28.0266920877,0.9971770662,1.0047208980,1.0040914385,1.0347900467,0.0623524741
30.0285986654,0.9987261576,1.0011348752,0.9990514899,1.0411513624,0.0496662815
32.0305052431,0.9987939585,1.0008010109,0.9996772482,1.0184845730,0.0415856305
34.0324118208,0.9993474524,0.9569103318,1.0035319391,1.0227547399,0.0429299124
36.0343183985,0.9990358834,0.9696987610,1.0069254351,0.9671644716,0.0544714869
38.0362249762,0.9993094207,0.9854624635,1.0007874228,0.9947732152,0.0742306618
40.0381315539,1.0007135823,0.9941090447,1.0209601138,1.0041573310,0.0993417009
42.0400381316,1.0013492601,0.9978868741,1.0015578375,1.0027438475,0.1272188596
44.0419447092,1.0004819111,0.9985949910,0.9970757791,0.9995099708,0.1559576597
46.0438512869,0.9954311719,0.9990030333,0.9961232901,0.9985663696,0.1843182471
48.0457578646,1.0064027022,0.9992796120,0.9995222907,0.9977159910,0.2115696608
50.0476644423,0.9987959354,0.9991192675,0.9997263430,0.9983800059,0.2373280477
52.0495710200,0.9980108305,0.9990675201,0.9999336414,0.9980629656,0.2614298575
54.0514775977,0.9986012813,0.9992904411,0.9996313155,0.9961185055,0.2838478154
56.0533841754,0.9991217007,1.0003453215,0.9997835978,0.9968021744,0.3046295711
58.0552907531,0.9989724944,0.9999225357,0.9990139177,0.9979017236,0.3238653241
60.0571973308,0.9352707609,0.9995008888,0.9990202952,0.9979290248,0.3416652484
62.0591039085,0.9957394476,0.9994212133,0.9993869379,0.9968748916,0.3581463967
64.0610104862,0.9989535676,0.9990856581,0.9997380069,0.9947232050,0.3734249171
66.0629170639,1.0017648893,0.9991848802,0.9987591196,0.9909455265,0.5824449191
68.0648236416,0.9994147436,0.9992237140,1.0045289556,0.9837066145,0.5414335090
70.0667302193,1.0018772986,0.9990238121,1.0067807316,0.9706204378,0.7004986611
72.0686367969,0.9992107419,0.9998625219,1.0044985397,0.9891214934,0.6625254825
74.0705433746,0.9990685618,1.0024314993,0.9997041094,0.9945692219,0.8049324802
76.0724499523,0.9993370259,0.9986594945,1.0003447019,0.9942155485,0.7612962131
78.0743565300,0.9990832492,0.9983097522,1.0003787157,0.9984593983,0.7298012990
80.0762631077,0.9998557924,0.9945595905,1.0000903195,0.9982204117,0.6973521867
82.0781696854,0.9993050260,0.9960107780,0.9998634378,0.9956373413,0.8074640889
84.0800762631,0.9994781400,0.9978116192,0.9997838009,0.9968107467,0.8832335483
86.0819828408,0.9990920073,0.9988496708,0.9998613656,0.9984499139,0.9363172164
88.0838894185,0.9997067220,0.9989154109,0.9995132279,0.9977945359,0.9273352357
90.0857959962,1.0003055379,0.9990407418,0.9987947526,0.9978069587,0.9607998536
92.0877025739,0.9924630272,0.9993533287,1.0008489160,1.0011964120,0.9476864188
94.0896091516,0.9954723035,0.9995003075,0.9974161182,1.0013155605,0.9716890962
96.0915157293,0.9988141398,0.9994258798,0.9981268261,0.9989846755,0.9585876715
98.0934223070,0.9868766736,0.9990383265,0.9984834653,0.9993066292,0.9789858981
100.0953288847,0.9892947170,0.9980202235,0.9988628412,0.9997047047,0.9871571720
102.0972354623,0.9947612280,1.0005182110,0.9986012637,0.9998525361,0.9920912246
104.0991420400,0.9913241152,1.0033523357,0.9990596847,0.9987749577,0.9947257754
106.1010486177,1.0045403641,1.0134648286,0.9986901333,0.9982002843,0.9950258990
108.1029551954,1.0016630742,1.0061640366,0.9972748309,0.9949461489,0.9954231374
110.1048617731,1.0002025635,1.0026974940,0.9986425665,1.0040738881,0.9985694580
112.1067683508,0.9994563036,1.0008989033,0.9990039207,1.0119173474,0.9950287813
114.1086749285,0.9994099727,1.0003060476,0.9986403339,1.0149343434,0.9946597357
116.1105815062,0.9990557723,1.0001046244,0.9983800885,1.0145631782,0.9927984166
118.1124880839,0.8962417921,0.9999789412,1.0027377590,1.0023170705,0.9934645238
120.1143946616,0.9392699545,0.9995696108,0.9970238363,1.0005843109,1.0061242682
122.1163012393,0.9785033642,1.0002348602,0.9994434885,0.9991353011,1.0080459597
124.1182078170,0.9916115810,1.0005427323,0.9982649453,0.9992317173,1.0073585748
126.1201143947,0.9970044019,1.0002280258,0.9995536643,1.0029262574,0.9965015329
128.1220209724,1.0624765491,0.9955660685,0.9981903846,0.9978107546,1.0040564015
