# Generated by QuTiP: 301x2 real matrix in decimal format [',' separated values].
-5.0000000000,0.0109183373
-4.9666666667,0.0110789751
-4.9333333333,0.0112432830
-4.9000000000,0.0114113765
-4.8666666667,0.0115833756
-4.8333333333,0.0117594054
-4.8000000000,0.0119395960
-4.7666666667,0.0121240830
-4.7333333333,0.0123130076
-4.7000000000,0.0125065171
-4.6666666667,0.0127047650
-4.6333333333,0.0129079114
-4.6000000000,0.0131161234
-4.5666666667,0.0133295755
-4.5333333333,0.0135484498
-4.5000000000,0.0137729368
-4.4666666667,0.0140032353
-4.4333333333,0.0142395536
-4.4000000000,0.0144821092
-4.3666666667,0.0147311300
-4.3333333333,0.0149868546
-4.3000000000,0.0152495329
-4.2666666667,0.0155194269
-4.2333333333,0.0157968112
-4.2000000000,0.0160819742
-4.1666666667,0.0163752182
-4.1333333333,0.0166768611
-4.1000000000,0.0169872366
-4.0666666667,0.0173066957
-4.0333333333,0.0176356078
-4.0000000000,0.0179743613
-3.9666666667,0.0183233656
-3.9333333333,0.0186830518
-3.9000000000,0.0190538747
-3.8666666667,0.0194363140
-3.8333333333,0.0198308760
-3.8000000000,0.0202380956
-3.7666666667,0.0206585384
-3.7333333333,0.0210928023
-3.7000000000,0.0215415204
-3.6666666667,0.0220053631
-3.6333333333,0.0224850411
-3.6000000000,0.0229813081
-3.5666666667,0.0234949643
-3.5333333333,0.0240268595
-3.5000000000,0.0245778973
-3.4666666667,0.0251490390
-3.4333333333,0.0257413080
-3.4000000000,0.0263557950
-3.3666666667,0.0269936634
-3.3333333333,0.0276561546
-3.3000000000,0.0283445953
-3.2666666667,0.0290604039
-3.2333333333,0.0298050982
-3.2000000000,0.0305803046
-3.1666666667,0.0313877663
-3.1333333333,0.0322293546
-3.1000000000,0.0331070793
-3.0666666667,0.0340231016
-3.0333333333,0.0349797476
-3.0000000000,0.0359795230
-2.9666666667,0.0370251302
-2.9333333333,0.0381194859
-2.9000000000,0.0392657419
-2.8666666667,0.0404673065
-2.8333333333,0.0417278697
-2.8000000000,0.0430514297
-2.7666666667,0.0444423224
-2.7333333333,0.0459052548
-2.7000000000,0.0474453396
-2.6666666667,0.0490681356
-2.6333333333,0.0507796896
-2.6000000000,0.0525865834
-2.5666666667,0.0544959836
-2.5333333333,0.0565156959
-2.5000000000,0.0586542223
-2.4666666667,0.0609208206
-2.4333333333,0.0633255662
-2.4000000000,0.0658794138
-2.3666666667,0.0685942556
-2.3333333333,0.0714829740
-2.3000000000,0.0745594821
-2.2666666667,0.0778387437
-2.2333333333,0.0813367634
-2.2000000000,0.0850705304
-2.1666666667,0.0890578956
-2.1333333333,0.0933173535
-2.1000000000,0.0978676920
-2.0666666667,0.1027274592
-2.0333333333,0.1079141839
-2.0000000000,0.1134432665
-1.9666666667,0.1193264431
-1.9333333333,0.1255697015
-1.9000000000,0.1321705265
-1.8666666667,0.1391143486
-1.8333333333,0.1463701152
-1.8000000000,0.1538849915
-1.7666666667,0.1615783747
-1.7333333333,0.1693356982
-1.7000000000,0.1770029277
-1.6666666667,0.1843831911
-1.6333333333,0.1912375409
-1.6000000000,0.1972921815
-1.5666666667,0.2022542618
-1.5333333333,0.2058371279
-1.5000000000,0.2077935486
-1.4666666667,0.2079522372
-1.4333333333,0.2062500762
-1.4000000000,0.2027514484
-1.3666666667,0.1976481912
-1.3333333333,0.1912387430
-1.3000000000,0.1838911040
-1.2666666667,0.1759985993
-1.2333333333,0.1679383417
-1.2000000000,0.1600398519
-1.1666666667,0.1525671864
-1.1333333333,0.1457140872
-1.1000000000,0.1396092859
-1.0666666667,0.1343283220
-1.0333333333,0.1299085718
-1.0000000000,0.1263649683
-0.9666666667,0.1237046783
-0.9333333333,0.1219395984
-0.9000000000,0.1210959936
-0.8666666667,0.1212210454
-0.8333333333,0.1223865770
-0.8000000000,0.1246907260
-0.7666666667,0.1282586900
-0.7333333333,0.1332437475
-0.7000000000,0.1398295467
-0.6666666667,0.1482342506
-0.6333333333,0.1587167084
-0.6000000000,0.1715844513
-0.5666666667,0.1872029733
-0.5333333333,0.2060053165
-0.5000000000,0.2285002098
-0.4666666667,0.2552756950
-0.4333333333,0.2869930607
-0.4000000000,0.3243628670
-0.3666666667,0.3680911231
-0.3333333333,0.4187803806
-0.3000000000,0.4767704381
-0.2666666667,0.5419114797
-0.2333333333,0.6132848839
-0.2000000000,0.6889259516
-0.1666666667,0.7656482734
-0.1333333333,0.8390928924
-0.1000000000,0.9040913256
-0.0666666667,0.9553307086
-0.0333333333,0.9881857685
0.0000000000,0.9995091261
0.0333333333,0.9881857685
0.0666666667,0.9553307086
0.1000000000,0.9040913256
0.1333333333,0.8390928924
0.1666666667,0.7656482734
0.2000000000,0.6889259516
0.2333333333,0.6132848839
0.2666666667,0.5419114797
0.3000000000,0.4767704381
0.3333333333,0.4187803806
0.3666666667,0.3680911231
0.4000000000,0.3243628670
0.4333333333,0.2869930607
0.4666666667,0.2552756950
0.5000000000,0.2285002098
0.5333333333,0.2060053165
0.5666666667,0.1872029733
0.6000000000,0.1715844513
0.6333333333,0.1587167084
0.6666666667,0.1482342506
0.7000000000,0.1398295467
0.7333333333,0.1332437475
0.7666666667,0.1282586900
0.8000000000,0.1246907260
0.8333333333,0.1223865770
0.8666666667,0.1212210454
0.9000000000,0.1210959936
0.9333333333,0.1219395984
0.9666666667,0.1237046783
1.0000000000,0.1263649683
1.0333333333,0.1299085718
1.0666666667,0.1343283220
1.1000000000,0.1396092859
1.1333333333,0.1457140872
1.1666666667,0.1525671864
1.2000000000,0.1600398519
1.2333333333,0.1679383417
1.2666666667,0.1759985993
1.3000000000,0.1838911040
1.3333333333,0.1912387430
1.3666666667,0.1976481912
1.4000000000,0.2027514484
1.4333333333,0.2062500762
1.4666666667,0.2079522372
1.5000000000,0.2077935486
1.5333333333,0.2058371279
1.5666666667,0.2022542618
1.6000000000,0.1972921815
1.6333333333,0.1912375409
1.6666666667,0.1843831911
1.7000000000,0.1770029277
1.7333333333,0.1693356982
1.7666666667,0.1615783747
1.8000000000,0.1538849915
1.8333333333,0.1463701152
1.8666666667,0.1391143486
1.9000000000,0.1321705265
1.9333333333,0.1255697015
1.9666666667,0.1193264431
2.0000000000,0.1134432665
2.0333333333,0.1079141839
2.0666666667,0.1027274592
2.1000000000,0.0978676920
2.1333333333,0.0933173535
2.1666666667,0.0890578956
2.2000000000,0.0850705304
2.2333333333,0.0813367634
2.2666666667,0.0778387437
2.3000000000,0.0745594821
2.3333333333,0.0714829740
2.3666666667,0.0685942556
2.4000000000,0.0658794138
2.4333333333,0.0633255662
2.4666666667,0.0609208206
2.5000000000,0.0586542223
2.5333333333,0.0565156959
2.5666666667,0.0544959836
2.6000000000,0.0525865834
2.6333333333,0.0507796896
2.6666666667,0.0490681356
2.7000000000,0.0474453396
2.7333333333,0.0459052548
2.7666666667,0.0444423224
2.8000000000,0.0430514297
2.8333333333,0.0417278697
2.8666666667,0.0404673065
2.9000000000,0.0392657419
2.9333333333,0.0381194859
2.9666666667,0.0370251302
3.0000000000,0.0359795230
3.0333333333,0.0349797476
3.0666666667,0.0340231016
3.1000000000,0.0331070793
3.1333333333,0.0322293546
3.1666666667,0.0313877663
3.2000000000,0.0305803046
3.2333333333,0.0298050982
3.2666666667,0.0290604039
3.3000000000,0.0283445953
3.3333333333,0.0276561546
3.3666666667,0.0269936634
3.4000000000,0.0263557950
3.4333333333,0.0257413080
3.4666666667,0.0251490390
3.5000000000,0.0245778973
3.5333333333,0.0240268595
3.5666666667,0.0234949643
3.6000000000,0.0229813081
3.6333333333,0.0224850411
3.6666666667,0.0220053631
3.7000000000,0.0215415204
3.7333333333,0.0210928023
3.7666666667,0.0206585384
3.8000000000,0.0202380956
3.8333333333,0.0198308760
3.8666666667,0.0194363140
3.9000000000,0.0190538747
3.9333333333,0.0186830518
3.9666666667,0.0183233656
4.0000000000,0.0179743613
4.0333333333,0.0176356078
4.0666666667,0.0173066957
4.1000000000,0.0169872366
4.1333333333,0.0166768611
4.1666666667,0.0163752182
4.2000000000,0.0160819742
4.2333333333,0.0157968112
4.2666666667,0.0155194269
4.3000000000,0.0152495329
4.3333333333,0.0149868546
4.3666666667,0.0147311300
4.4000000000,0.0144821092
4.4333333333,0.0142395536
4.4666666667,0.0140032353
4.5000000000,0.0137729368
4.5333333333,0.0135484498
4.5666666667,0.0133295755
4.6000000000,0.0131161234
4.6333333333,0.0129079114
4.6666666667,0.0127047650
4.7000000000,0.0125065171
4.7333333333,0.0123130076
4.7666666667,0.0121240830
4.8000000000,0.0119395960
4.8333333333,0.0117594054
4.8666666667,0.0115833756
4.9000000000,0.0114113765
4.9333333333,0.0112432830
4.9666666667,0.0110789751
5.0000000000,0.0109183373
