# Generated by QuTiP: 301x2 real matrix in decimal format [',' separated values].
-5.0000000000,0.0001124638
-4.9666666667,0.0001135936
-4.9333333333,0.0001147539
-4.9000000000,0.0001159459
-4.8666666667,0.0001171709
-4.8333333333,0.0001184301
-4.8000000000,0.0001197248
-4.7666666667,0.0001210564
-4.7333333333,0.0001224263
-4.7000000000,0.0001238362
-4.6666666667,0.0001252875
-4.6333333333,0.0001267820
-4.6000000000,0.0001283216
-4.5666666667,0.0001299080
-4.5333333333,0.0001315432
-4.5000000000,0.0001332295
-4.4666666667,0.0001349689
-4.4333333333,0.0001367638
-4.4000000000,0.0001386167
-4.3666666667,0.0001405302
-4.3333333333,0.0001425070
-4.3000000000,0.0001445501
-4.2666666667,0.0001466627
-4.2333333333,0.0001488479
-4.2000000000,0.0001511093
-4.1666666667,0.0001534505
-4.1333333333,0.0001558756
-4.1000000000,0.0001583887
-4.0666666667,0.0001609943
-4.0333333333,0.0001636970
-4.0000000000,0.0001665020
-3.9666666667,0.0001694146
-3.9333333333,0.0001724406
-3.9000000000,0.0001755861
-3.8666666667,0.0001788578
-3.8333333333,0.0001822625
-3.8000000000,0.0001858078
-3.7666666667,0.0001895018
-3.7333333333,0.0001933531
-3.7000000000,0.0001973710
-3.6666666667,0.0002015653
-3.6333333333,0.0002059469
-3.6000000000,0.0002105272
-3.5666666667,0.0002153186
-3.5333333333,0.0002203345
-3.5000000000,0.0002255893
-3.4666666667,0.0002310986
-3.4333333333,0.0002368793
-3.4000000000,0.0002429495
-3.3666666667,0.0002493290
-3.3333333333,0.0002560394
-3.3000000000,0.0002631037
-3.2666666667,0.0002705474
-3.2333333333,0.0002783980
-3.2000000000,0.0002866854
-3.1666666667,0.0002954423
-3.1333333333,0.0003047045
-3.1000000000,0.0003145110
-3.0666666667,0.0003249045
-3.0333333333,0.0003359319
-3.0000000000,0.0003476446
-2.9666666667,0.0003600991
-2.9333333333,0.0003733574
-2.9000000000,0.0003874882
-2.8666666667,0.0004025669
-2.8333333333,0.0004186770
-2.8000000000,0.0004359108
-2.7666666667,0.0004543708
-2.7333333333,0.0004741705
-2.7000000000,0.0004954362
-2.6666666667,0.0005183085
-2.6333333333,0.0005429441
-2.6000000000,0.0005695181
-2.5666666667,0.0005982264
-2.5333333333,0.0006292887
-2.5000000000,0.0006629514
-2.4666666667,0.0006994919
-2.4333333333,0.0007392229
-2.4000000000,0.0007824972
-2.3666666667,0.0008297142
-2.3333333333,0.0008813267
-2.3000000000,0.0009378489
-2.2666666667,0.0009998663
-2.2333333333,0.0010680472
-2.2000000000,0.0011431553
-2.1666666667,0.0012260663
-2.1333333333,0.0013177862
-2.1000000000,0.0014194735
-2.0666666667,0.0015324658
-2.0333333333,0.0016583112
-2.0000000000,0.0017988064
-1.9666666667,0.0019560423
-1.9333333333,0.0021324585
-1.9000000000,0.0023309099
-1.8666666667,0.0025547467
-1.8333333333,0.0028079124
-1.8000000000,0.0030950626
-1.7666666667,0.0034217103
-1.7333333333,0.0037944049
-1.7000000000,0.0042209503
-1.6666666667,0.0047106759
-1.6333333333,0.0052747690
-1.6000000000,0.0059266877
-1.5666666667,0.0066826700
-1.5333333333,0.0075623668
-1.5000000000,0.0085896234
-1.4666666667,0.0097934464
-1.4333333333,0.0112091943
-1.4000000000,0.0128800342
-1.3666666667,0.0148587085
-1.3333333333,0.0172096447
-1.3000000000,0.0200114224
-1.2666666667,0.0233595564
-1.2333333333,0.0273694710
-1.2000000000,0.0321793755
-1.1666666667,0.0379525079
-1.1333333333,0.0448778532
-1.1000000000,0.0531679846
-1.0666666667,0.0630522139
-1.0333333333,0.0747630101
-1.0000000000,0.0885141076
-0.9666666667,0.1044704877
-0.9333333333,0.1227139116
-0.9000000000,0.1432124356
-0.8666666667,0.1658061878
-0.8333333333,0.1902210058
-0.8000000000,0.2161136401
-0.7666666667,0.2431390110
-0.7333333333,0.2710188542
-0.7000000000,0.2995898820
-0.6666666667,0.3288194567
-0.6333333333,0.3587907465
-0.6000000000,0.3896687233
-0.5666666667,0.4216596763
-0.5333333333,0.4549725802
-0.5000000000,0.4897850392
-0.4666666667,0.5262125126
-0.4333333333,0.5642778937
-0.4000000000,0.6038791191
-0.3666666667,0.6447551299
-0.3333333333,0.6864548680
-0.3000000000,0.7283187652
-0.2666666667,0.7694849154
-0.2333333333,0.8089302655
-0.2000000000,0.8455495146
-0.1666666667,0.8782615781
-0.1333333333,0.9061188315
-0.1000000000,0.9283861509
-0.0666666667,0.9445652603
-0.0333333333,0.9543651950
0.0000000000,0.9576453194
0.0333333333,0.9543651950
0.0666666667,0.9445652603
0.1000000000,0.9283861509
0.1333333333,0.9061188315
0.1666666667,0.8782615781
0.2000000000,0.8455495146
0.2333333333,0.8089302655
0.2666666667,0.7694849154
0.3000000000,0.7283187652
0.3333333333,0.6864548680
0.3666666667,0.6447551299
0.4000000000,0.6038791191
0.4333333333,0.5642778937
0.4666666667,0.5262125126
0.5000000000,0.4897850392
0.5333333333,0.4549725802
0.5666666667,0.4216596763
