# Generated by QuTiP: 301x2 real matrix in decimal format [',' separated values].
-5.0000000000,0.0109188987
-4.9666666667,0.0110795692
-4.9333333333,0.0112439119
-4.9000000000,0.0114120425
-4.8666666667,0.0115840812
-4.8333333333,0.0117601534
-4.8000000000,0.0119403892
-4.7666666667,0.0121249245
-4.7333333333,0.0123139009
-4.7000000000,0.0125074657
-4.6666666667,0.0127057728
-4.6333333333,0.0129089826
-4.6000000000,0.0131172625
-4.5666666667,0.0133307875
-4.5333333333,0.0135497401
-4.5000000000,0.0137743110
-4.4666666667,0.0140046998
-4.4333333333,0.0142411150
-4.4000000000,0.0144837749
-4.3666666667,0.0147329080
-4.3333333333,0.0149887535
-4.3000000000,0.0152515621
-4.2666666667,0.0155215966
-4.2333333333,0.0157991326
-4.2000000000,0.0160844593
-4.1666666667,0.0163778804
-4.1333333333,0.0166797147
-4.1000000000,0.0169902974
-4.0666666667,0.0173099810
-4.0333333333,0.0176391364
-4.0000000000,0.0179781539
-3.9666666667,0.0183274449
-3.9333333333,0.0186874426
-3.9000000000,0.0190586044
-3.8666666667,0.0194414126
-3.8333333333,0.0198363767
-3.8000000000,0.0202440348
-3.7666666667,0.0206649564
-3.7333333333,0.0210997436
-3.7000000000,0.0215490341
-3.6666666667,0.0220135038
-3.6333333333,0.0224938692
-3.6000000000,0.0229908906
-3.5666666667,0.0235053757
-3.5333333333,0.0240381828
-3.5000000000,0.0245902250
-3.4666666667,0.0251624741
-3.4333333333,0.0257559659
-3.4000000000,0.0263718047
-3.3666666667,0.0270111694
-3.3333333333,0.0276753193
-3.3000000000,0.0283656011
-3.2666666667,0.0290834560
-3.2333333333,0.0298304284
-3.2000000000,0.0306081741
-3.1666666667,0.0314184711
-3.1333333333,0.0322632298
-3.1000000000,0.0331445053
-3.0666666667,0.0340645110
-3.0333333333,0.0350256330
-3.0000000000,0.0360304467
-2.9666666667,0.0370817349
-2.9333333333,0.0381825079
-2.9000000000,0.0393360263
-2.8666666667,0.0405458253
-2.8333333333,0.0418157431
-2.8000000000,0.0431499514
-2.7666666667,0.0445529903
-2.7333333333,0.0460298061
-2.7000000000,0.0475857949
-2.6666666667,0.0492268497
-2.6333333333,0.0509594140
-2.6000000000,0.0527905409
-2.5666666667,0.0547279586
-2.5333333333,0.0567801438
-2.5000000000,0.0589564018
-2.4666666667,0.0612669554
-2.4333333333,0.0637230413
-2.4000000000,0.0663370156
-2.3666666667,0.0691224659
-2.3333333333,0.0720943298
-2.3000000000,0.0752690166
-2.2666666667,0.0786645283
-2.2333333333,0.0823005720
-2.2000000000,0.0861986543
-2.1666666667,0.0903821394
-2.1333333333,0.0948762496
-2.1000000000,0.0997079723
-2.0666666667,0.1049058239
-2.0333333333,0.1104994009
-2.0000000000,0.1165186206
-1.9666666667,0.1229925163
-1.9333333333,0.1299474055
-1.9000000000,0.1374041928
-1.8666666667,0.1453745063
-1.8333333333,0.1538553092
-1.8000000000,0.1628215972
-1.7666666667,0.1722168437
-1.7333333333,0.1819410504
-1.7000000000,0.1918367366
-1.6666666667,0.2016740898
-1.6333333333,0.2111379253
-1.6000000000,0.2198210306
-1.5666666667,0.2272304596
-1.5333333333,0.2328143038
-1.5000000000,0.2360146271
-1.4666666667,0.2363458768
-1.4333333333,0.2334871755
-1.4000000000,0.2273651917
-1.3666666667,0.2181990785
-1.3333333333,0.2064867895
-1.3000000000,0.1929322091
-1.2666666667,0.1783348977
-1.2333333333,0.1634760836
-1.2000000000,0.1490303400
-1.1666666667,0.1355173037
-1.1333333333,0.1232918633
-1.1000000000,0.1125615989
-1.0666666667,0.1034180955
-1.0333333333,0.0958714367
-1.0000000000,0.0898814190
-0.9666666667,0.0853827051
-0.9333333333,0.0823035264
-0.9000000000,0.0805787515
-0.8666666667,0.0801585617
-0.8333333333,0.0810139956
-0.8000000000,0.0831404969
-0.7666666667,0.0865604396
-0.7333333333,0.0913254515
-0.7000000000,0.0975192054
-0.6666666667,0.1052612039
-0.6333333333,0.1147119646
-0.6000000000,0.1260799187
-0.5666666667,0.1396302726
-0.5333333333,0.1556960028
-0.5000000000,0.1746909848
-0.4666666667,0.1971248682
-0.4333333333,0.2236184669
-0.4000000000,0.2549167600
-0.3666666667,0.2918934559
-0.3333333333,0.3355355039
-0.3000000000,0.3868867434
-0.2666666667,0.4469162413
-0.2333333333,0.5162604922
-0.2000000000,0.5947789381
-0.1666666667,0.6808853286
-0.1333333333,0.7707228770
-0.1000000000,0.8574897477
-0.0666666667,0.9315444657
-0.0333333333,0.9820164037
0.0000000000,0.9999999917
0.0333333333,0.9820164037
0.0666666667,0.9315444657
0.1000000000,0.8574897477
0.1333333333,0.7707228770
0.1666666667,0.6808853286
0.2000000000,0.5947789381
0.2333333333,0.5162604922
0.2666666667,0.4469162413
0.3000000000,0.3868867434
0.3333333333,0.3355355039
0.3666666667,0.2918934559
0.4000000000,0.2549167600
0.4333333333,0.2236184669
0.4666666667,0.1971248682
0.5000000000,0.1746909848
0.5333333333,0.1556960028
0.5666666667,0.1396302726
0.6000000000,0.1260799187
0.6333333333,0.1147119646
0.6666666667,0.1052612039
0.7000000000,0.0975192054
0.7333333333,0.0913254515
0.7666666667,0.0865604396
0.8000000000,0.0831404969
0.8333333333,0.0810139956
0.8666666667,0.0801585617
0.9000000000,0.0805787515
0.9333333333,0.0823035264
0.9666666667,0.0853827051
1.0000000000,0.0898814190
1.0333333333,0.0958714367
1.0666666667,0.1034180955
1.1000000000,0.1125615989
1.1333333333,0.1232918633
1.1666666667,0.1355173037
1.2000000000,0.1490303400
1.2333333333,0.1634760836
1.2666666667,0.1783348977
1.3000000000,0.1929322091
1.3333333333,0.2064867895
1.3666666667,0.2181990785
1.4000000000,0.2273651917
1.4333333333,0.2334871755
1.4666666667,0.2363458768
1.5000000000,0.2360146271
1.5333333333,0.2328143038
1.5666666667,0.2272304596
1.6000000000,0.2198210306
1.6333333333,0.2111379253
1.6666666667,0.2016740898
1.7000000000,0.1918367366
1.7333333333,0.1819410504
1.7666666667,0.1722168437
1.8000000000,0.1628215972
1.8333333333,0.1538553092
1.8666666667,0.1453745063
1.9000000000,0.1374041928
1.9333333333,0.1299474055
1.9666666667,0.1229925163
2.0000000000,0.1165186206
2.0333333333,0.1104994009
2.0666666667,0.1049058239
2.1000000000,0.0997079723
2.1333333333,0.0948762496
2.1666666667,0.0903821394
2.2000000000,0.0861986543
2.2333333333,0.0823005720
2.2666666667,0.0786645283
2.3000000000,0.0752690166
2.3333333333,0.0720943298
2.3666666667,0.0691224659
2.4000000000,0.0663370156
2.4333333333,0.0637230413
2.4666666667,0.0612669554
2.5000000000,0.0589564018
2.5333333333,0.0567801438
2.5666666667,0.0547279586
2.6000000000,0.0527905409
2.6333333333,0.0509594140
2.6666666667,0.0492268497
2.7000000000,0.0475857949
2.7333333333,0.0460298061
2.7666666667,0.0445529903
2.8000000000,0.0431499514
2.8333333333,0.0418157431
2.8666666667,0.0405458253
2.9000000000,0.0393360263
2.9333333333,0.0381825079
2.9666666667,0.0370817349
3.0000000000,0.0360304467
3.0333333333,0.0350256330
3.0666666667,0.0340645110
3.1000000000,0.0331445053
3.1333333333,0.0322632298
3.1666666667,0.0314184711
3.2000000000,0.0306081741
3.2333333333,0.0298304284
3.2666666667,0.0290834560
3.3000000000,0.0283656011
3.3333333333,0.0276753193
3.3666666667,0.0270111694
3.4000000000,0.0263718047
3.4333333333,0.0257559659
3.4666666667,0.0251624741
3.5000000000,0.0245902250
3.5333333333,0.0240381828
3.5666666667,0.0235053757
3.6000000000,0.0229908906
3.6333333333,0.0224938692
3.6666666667,0.0220135038
3.7000000000,0.0215490341
3.7333333333,0.0210997436
3.7666666667,0.0206649564
3.8000000000,0.0202440348
3.8333333333,0.0198363767
3.8666666667,0.0194414126
3.9000000000,0.0190586044
3.9333333333,0.0186874426
3.9666666667,0.0183274449
4.0000000000,0.0179781539
4.0333333333,0.0176391364
4.0666666667,0.0173099810
4.1000000000,0.0169902974
4.1333333333,0.0166797147
4.1666666667,0.0163778804
4.2000000000,0.0160844593
4.2333333333,0.0157991326
4.2666666667,0.0155215966
4.3000000000,0.0152515621
4.3333333333,0.0149887535
4.3666666667,0.0147329080
4.4000000000,0.0144837749
4.4333333333,0.0142411150
4.4666666667,0.0140046998
4.5000000000,0.0137743110
4.5333333333,0.0135497401
4.5666666667,0.0133307875
4.6000000000,0.0131172625
4.6333333333,0.0129089826
4.6666666667,0.0127057728
4.7000000000,0.0125074657
4.7333333333,0.0123139009
4.7666666667,0.0121249245
4.8000000000,0.0119403892
4.8333333333,0.0117601534
4.8666666667,0.0115840812
4.9000000000,0.0114120425
4.9333333333,0.0112439119
4.9666666667,0.0110795692
5.0000000000,0.0109188987
