# Generated by QuTiP: 301x2 real matrix in decimal format [',' separated values].
-5.0000000000,0.0101255983
-4.9666666667,0.0102637600
-4.9333333333,0.0104047829
-4.9000000000,0.0105487470
-4.8666666667,0.0106957351
-4.8333333333,0.0108458330
-4.8000000000,0.0109991295
-4.7666666667,0.0111557166
-4.7333333333,0.0113156898
-4.7000000000,0.0114791480
-4.6666666667,0.0116461936
-4.6333333333,0.0118169332
-4.6000000000,0.0119914771
-4.5666666667,0.0121699399
-4.5333333333,0.0123524406
-4.5000000000,0.0125391026
-4.4666666667,0.0127300543
-4.4333333333,0.0129254290
-4.4000000000,0.0131253653
-4.3666666667,0.0133300073
-4.3333333333,0.0135395050
-4.3000000000,0.0137540142
-4.2666666667,0.0139736973
-4.2333333333,0.0141987232
-4.2000000000,0.0144292680
-4.1666666667,0.0146655149
-4.1333333333,0.0149076552
-4.1000000000,0.0151558880
-4.0666666667,0.0154104211
-4.0333333333,0.0156714713
-4.0000000000,0.0159392649
-3.9666666667,0.0162140383
-3.9333333333,0.0164960383
-3.9000000000,0.0167855227
-3.8666666667,0.0170827613
-3.8333333333,0.0173880361
-3.8000000000,0.0177016422
-3.7666666667,0.0180238886
-3.7333333333,0.0183550986
-3.7000000000,0.0186956113
-3.6666666667,0.0190457819
-3.6333333333,0.0194059830
-3.6000000000,0.0197766056
-3.5666666667,0.0201580600
-3.5333333333,0.0205507773
-3.5000000000,0.0209552102
-3.4666666667,0.0213718350
-3.4333333333,0.0218011526
-3.4000000000,0.0222436900
-3.3666666667,0.0227000026
-3.3333333333,0.0231706752
-3.3000000000,0.0236563246
-3.2666666667,0.0241576015
-3.2333333333,0.0246751926
-3.2000000000,0.0252098234
-3.1666666667,0.0257622607
-3.1333333333,0.0263333155
-3.1000000000,0.0269238459
-3.0666666667,0.0275347610
-3.0333333333,0.0281670241
-3.0000000000,0.0288216570
-2.9666666667,0.0294997439
-2.9333333333,0.0302024368
-2.9000000000,0.0309309600
-2.8666666667,0.0316866159
-2.8333333333,0.0324707914
-2.8000000000,0.0332849639
-2.7666666667,0.0341307094
-2.7333333333,0.0350097096
-2.7000000000,0.0359237614
-2.6666666667,0.0368747859
-2.6333333333,0.0378648391
-2.6000000000,0.0388961232
-2.5666666667,0.0399709994
-2.5333333333,0.0410920016
-2.5000000000,0.0422618515
-2.4666666667,0.0434834755
-2.4333333333,0.0447600227
-2.4000000000,0.0460948852
-2.3666666667,0.0474917202
-2.3333333333,0.0489544738
-2.3000000000,0.0504874079
-2.2666666667,0.0520951284
-2.2333333333,0.0537826170
-2.2000000000,0.0555552647
-2.1666666667,0.0574189079
-2.1333333333,0.0593798676
-2.1000000000,0.0614449891
-2.0666666667,0.0636216840
-2.0333333333,0.0659179717
-2.0000000000,0.0683425192
-1.9666666667,0.0709046758
-1.9333333333,0.0736144997
-1.9000000000,0.0764827685
-1.8666666667,0.0795209667
-1.8333333333,0.0827412357
-1.8000000000,0.0861562686
-1.7666666667,0.0897791234
-1.7333333333,0.0936229176
-1.7000000000,0.0977003529
-1.6666666667,0.1020229981
-1.6333333333,0.1066002349
-1.6000000000,0.1114377368
-1.5666666667,0.1165353200
-1.5333333333,0.1218839682
-1.5000000000,0.1274618193
-1.4666666667,0.1332289349
-1.4333333333,0.1391208097
-1.4000000000,0.1450409140
-1.3666666667,0.1508532266
-1.3333333333,0.1563768226
-1.3000000000,0.1613861474
-1.2666666667,0.1656222189
-1.2333333333,0.1688205514
-1.2000000000,0.1707591034
-1.1666666667,0.1713221197
-1.1333333333,0.1705640381
-1.1000000000,0.1687476699
-1.0666666667,0.1663326017
-1.0333333333,0.1639084248
-1.0000000000,0.1620942208
-0.9666666667,0.1614418538
-0.9333333333,0.1623745999
-0.9000000000,0.1651713821
-0.8666666667,0.1699869180
-0.8333333333,0.1768897485
-0.8000000000,0.1859024807
-0.7666666667,0.1970353265
-0.7333333333,0.2103100467
-0.7000000000,0.2257748782
-0.6666666667,0.2435122479
-0.6333333333,0.2636410455
-0.6000000000,0.2863147306
-0.5666666667,0.3117159795
-0.5333333333,0.3400480333
-0.5000000000,0.3715223183
-0.4666666667,0.4063412387
-0.4333333333,0.4446743695
-0.4000000000,0.4866257807
-0.3666666667,0.5321902076
-0.3333333333,0.5811965999
-0.3000000000,0.6332397324
-0.2666666667,0.6876045419
-0.2333333333,0.7431939160
-0.2000000000,0.7984782226
-0.1666666667,0.8514917506
-0.1333333333,0.8999033499
-0.1000000000,0.9411807874
-0.0666666667,0.9728474881
-0.0333333333,0.9927991334
0.0000000000,0.9996168577
0.0333333333,0.9927991334
0.0666666667,0.9728474881
0.1000000000,0.9411807874
0.1333333333,0.8999033499
0.1666666667,0.8514917506
0.2000000000,0.7984782226
0.2333333333,0.7431939160
0.2666666667,0.6876045419
0.3000000000,0.6332397324
0.3333333333,0.5811965999
0.3666666667,0.5321902076
0.4000000000,0.4866257807
0.4333333333,0.4446743695
0.4666666667,0.4063412387
0.5000000000,0.3715223183
0.5333333333,0.3400480333
0.5666666667,0.3117159795
0.6000000000,0.2863147306
0.6333333333,0.2636410455
0.6666666667,0.2435122479
0.7000000000,0.2257748782
0.7333333333,0.2103100467
0.7666666667,0.1970353265
0.8000000000,0.1859024807
0.8333333333,0.1768897485
0.8666666667,0.1699869180
0.9000000000,0.1651713821
0.9333333333,0.1623745999
0.9666666667,0.1614418538
1.0000000000,0.1620942208
1.0333333333,0.1639084248
1.0666666667,0.1663326017
1.1000000000,0.1687476699
1.1333333333,0.1705640381
1.1666666667,0.1713221197
1.2000000000,0.1707591034
1.2333333333,0.1688205514
1.2666666667,0.1656222189
1.3000000000,0.1613861474
1.3333333333,0.1563768226
1.3666666667,0.1508532266
1.4000000000,0.1450409140
1.4333333333,0.1391208097
1.4666666667,0.1332289349
1.5000000000,0.1274618193
1.5333333333,0.1218839682
1.5666666667,0.1165353200
1.6000000000,0.1114377368
1.6333333333,0.1066002349
1.6666666667,0.1020229981
1.7000000000,0.0977003529
1.7333333333,0.0936229176
1.7666666667,0.0897791234
1.8000000000,0.0861562686
1.8333333333,0.0827412357
1.8666666667,0.0795209667
1.9000000000,0.0764827685
1.9333333333,0.0736144997
1.9666666667,0.0709046758
2.0000000000,0.0683425192
