# Generated by QuTiP: 301x2 real matrix in decimal format [',' separated values].
-5.0000000000,0.0109158502
-4.9666666667,0.0110763435
-4.9333333333,0.0112404975
-4.9000000000,0.0114084267
-4.8666666667,0.0115802506
-4.8333333333,0.0117560933
-4.8000000000,0.0119360841
-4.7666666667,0.0121203575
-4.7333333333,0.0123090538
-4.7000000000,0.0125023190
-4.6666666667,0.0127003054
-4.6333333333,0.0129031718
-4.6000000000,0.0131110837
-4.5666666667,0.0133242140
-4.5333333333,0.0135427432
-4.5000000000,0.0137668597
-4.4666666667,0.0139967604
-4.4333333333,0.0142326511
-4.4000000000,0.0144747469
-4.3666666667,0.0147232729
-4.3333333333,0.0149784648
-4.3000000000,0.0152405692
-4.2666666667,0.0155098444
-4.2333333333,0.0157865612
-4.2000000000,0.0160710034
-4.1666666667,0.0163634688
-4.1333333333,0.0166642698
-4.1000000000,0.0169737345
-4.0666666667,0.0172922075
-4.0333333333,0.0176200508
-4.0000000000,0.0179576454
-3.9666666667,0.0183053917
-3.9333333333,0.0186637115
-3.9000000000,0.0190330489
-3.8666666667,0.0194138716
-3.8333333333,0.0198066730
-3.8000000000,0.0202119734
-3.7666666667,0.0206303220
-3.7333333333,0.0210622987
-3.7000000000,0.0215085163
-3.6666666667,0.0219696225
-3.6333333333,0.0224463026
-3.6000000000,0.0229392821
-3.5666666667,0.0234493290
-3.5333333333,0.0239772574
-3.5000000000,0.0245239305
-3.4666666667,0.0250902641
-3.4333333333,0.0256772303
-3.4000000000,0.0262858619
-3.3666666667,0.0269172564
-3.3333333333,0.0275725812
-3.3000000000,0.0282530785
-3.2666666667,0.0289600707
-3.2333333333,0.0296949669
-3.2000000000,0.0304592688
-3.1666666667,0.0312545781
-3.1333333333,0.0320826037
-3.1000000000,0.0329451699
-3.0666666667,0.0338442251
-3.0333333333,0.0347818508
-3.0000000000,0.0357602717
-2.9666666667,0.0367818660
-2.9333333333,0.0378491767
-2.9000000000,0.0389649232
-2.8666666667,0.0401320135
-2.8333333333,0.0413535568
