# Generated by QuTiP: 301x2 real matrix in decimal format [',' separated values].
-5.0000000000,0.0096449833
-4.9666666667,0.0097747151
-4.9333333333,0.0099070411
-4.9000000000,0.0100420311
-4.8666666667,0.0101797574
-4.8333333333,0.0103202944
-4.8000000000,0.0104637195
-4.7666666667,0.0106101124
-4.7333333333,0.0107595557
-4.7000000000,0.0109121347
-4.6666666667,0.0110679381
-4.6333333333,0.0112270571
-4.6000000000,0.0113895867
-4.5666666667,0.0115556250
-4.5333333333,0.0117252737
-4.5000000000,0.0118986381
-4.4666666667,0.0120758276
-4.4333333333,0.0122569553
-4.4000000000,0.0124421388
-4.3666666667,0.0126314998
-4.3333333333,0.0128251647
-4.3000000000,0.0130232648
-4.2666666667,0.0132259364
-4.2333333333,0.0134333207
-4.2000000000,0.0136455648
-4.1666666667,0.0138628213
-4.1333333333,0.0140852488
-4.1000000000,0.0143130125
-4.0666666667,0.0145462836
-4.0333333333,0.0147852408
-4.0000000000,0.0150300698
-3.9666666667,0.0152809637
-3.9333333333,0.0155381238
-3.9000000000,0.0158017598
-3.8666666667,0.0160720901
-3.8333333333,0.0163493422
-3.8000000000,0.0166337535
-3.7666666667,0.0169255715
-3.7333333333,0.0172250543
-3.7000000000,0.0175324715
-3.6666666667,0.0178481044
-3.6333333333,0.0181722469
-3.6000000000,0.0185052060
-3.5666666667,0.0188473024
-3.5333333333,0.0191988719
-3.5000000000,0.0195602651
-3.4666666667,0.0199318494
-3.4333333333,0.0203140092
-3.4000000000,0.0207071469
-3.3666666667,0.0211116843
-3.3333333333,0.0215280634
-3.3000000000,0.0219567477
-3.2666666667,0.0223982231
-3.2333333333,0.0228530001
-3.2000000000,0.0233216142
-3.1666666667,0.0238046281
-3.1333333333,0.0243026330
-3.1000000000,0.0248162507
-3.0666666667,0.0253461350
-3.0333333333,0.0258929741
-3.0000000000,0.0264574926
-2.9666666667,0.0270404538
-2.9333333333,0.0276426622
-2.9000000000,0.0282649663
-2.8666666667,0.0289082613
-2.8333333333,0.0295734920
-2.8000000000,0.0302616568
-2.7666666667,0.0309738105
-2.7333333333,0.0317110688
-2.7000000000,0.0324746119
-2.6666666667,0.0332656895
-2.6333333333,0.0340856256
-2.6000000000,0.0349358234
-2.5666666667,0.0358177714
-2.5333333333,0.0367330494
-2.5000000000,0.0376833353
-2.4666666667,0.0386704123
-2.4333333333,0.0396961769
-2.4000000000,0.0407626473
-2.3666666667,0.0418719731
-2.3333333333,0.0430264450
-2.3000000000,0.0442285062
-2.2666666667,0.0454807645
-2.2333333333,0.0467860056
-2.2000000000,0.0481472070
-2.1666666667,0.0495675544
-2.1333333333,0.0510504588
-2.1000000000,0.0525995753
-2.0666666667,0.0542188239
-2.0333333333,0.0559124122
