# Generated by QuTiP: 301x2 real matrix in decimal format [',' separated values].
-5.0000000000,0.0096455607
-4.9666666667,0.0097752917
-4.9333333333,0.0099076165
-4.9000000000,0.0100426051
-4.8666666667,0.0101803301
-4.8333333333,0.0103208663
-4.8000000000,0.0104642912
-4.7666666667,0.0106106844
-4.7333333333,0.0107601288
-4.7000000000,0.0109127097
-4.6666666667,0.0110685156
-4.6333333333,0.0112276379
-4.6000000000,0.0113901713
-4.5666666667,0.0115562141
-4.5333333333,0.0117258679
-4.5000000000,0.0118992380
-4.4666666667,0.0120764337
-4.4333333333,0.0122575682
-4.4000000000,0.0124427589
-4.3666666667,0.0126321276
-4.3333333333,0.0128258008
-4.3000000000,0.0130239096
-4.2666666667,0.0132265903
-4.2333333333,0.0134339843
-4.2000000000,0.0136462385
-4.1666666667,0.0138635057
-4.1333333333,0.0140859444
-4.1000000000,0.0143137196
-4.0666666667,0.0145470030
-4.0333333333,0.0147859729
-4.0000000000,0.0150308151
-3.9666666667,0.0152817229
-3.9333333333,0.0155388974
-3.9000000000,0.0158025485
-3.8666666667,0.0160728945
-3.8333333333,0.0163501629
-3.8000000000,0.0166345913
-3.7666666667,0.0169264270
-3.7333333333,0.0172259284
-3.7000000000,0.0175333649
-3.6666666667,0.0178490179
-3.6333333333,0.0181731814
-3.6000000000,0.0185061624
-3.5666666667,0.0188482817
-3.5333333333,0.0191998750
-3.5000000000,0.0195612932
-3.4666666667,0.0199329035
-3.4333333333,0.0203150904
-3.4000000000,0.0207082565
-3.3666666667,0.0211128235
-3.3333333333,0.0215292336
-3.3000000000,0.0219579503
-3.2666666667,0.0223994597
-3.2333333333,0.0228542721
-3.2000000000,0.0233229234
-3.1666666667,0.0238059762
-3.1333333333,0.0243040219
-3.1000000000,0.0248176824
-3.0666666667,0.0253476116
-3.0333333333,0.0258944978
-3.0000000000,0.0264590657
-2.9666666667,0.0270420789
-2.9333333333,0.0276443420
-2.9000000000,0.0282667035
-2.8666666667,0.0289100589
-2.8333333333,0.0295753533
-2.8000000000,0.0302635851
-2.7666666667,0.0309758094
-2.7333333333,0.0317131421
-2.7000000000,0.0324767639
-2.6666666667,0.0332679245
-2.6333333333,0.0340879483
-2.6000000000,0.0349382388
-2.5666666667,0.0358202848
-2.5333333333,0.0367356667
-2.5000000000,0.0376860626
-2.4666666667,0.0386732563
-2.4333333333,0.0396991447
-2.4000000000,0.0407657466
-2.3666666667,0.0418752120
-2.3333333333,0.0430298324
-2.3000000000,0.0442320517
-2.2666666667,0.0454844784
-2.2333333333,0.0467898989
-2.2000000000,0.0481512918
-2.1666666667,0.0495718437
-2.1333333333,0.0510549667
-2.1000000000,0.0526043169
-2.0666666667,0.0542238158
-2.0333333333,0.0559176725
-2.0000000000,0.0576904090
