# Generated by QuTiP: 301x2 real matrix in decimal format [',' separated values].
-5.0000000000,0.0101429539
-4.9666666667,0.0095087728
-4.9333333333,0.0089970181
-4.9000000000,0.0086149103
-4.8666666667,0.0083536851
-4.8333333333,0.0081966490
-4.8000000000,0.0081249873
-4.7666666667,0.0081210445
-4.7333333333,0.0081697364
-4.7000000000,0.0082588621
-4.6666666667,0.0083788819
-4.6333333333,0.0085224961
-4.6000000000,0.0086841988
-4.5666666667,0.0088598779
-4.5333333333,0.0090464863
-4.5000000000,0.0092417819
-4.4666666667,0.0094441280
-4.4333333333,0.0096523427
-4.4000000000,0.0098655849
-4.3666666667,0.0100832696
-4.3333333333,0.0103050052
-4.3000000000,0.0105305456
-4.2666666667,0.0107597557
-4.2333333333,0.0109925847
-4.2000000000,0.0112290464
-4.1666666667,0.0114692049
-4.1333333333,0.0117131630
-4.1000000000,0.0119610546
-4.0666666667,0.0122130378
-4.0333333333,0.0124692909
-4.0000000000,0.0127300086
-3.9666666667,0.0129953998
-3.9333333333,0.0132656858
-3.9000000000,0.0135410986
-3.8666666667,0.0138218809
-3.8333333333,0.0141082848
-3.8000000000,0.0144005721
-3.7666666667,0.0146990138
-3.7333333333,0.0150038908
-3.7000000000,0.0153154936
-3.6666666667,0.0156341232
-3.6333333333,0.0159600911
-3.6000000000,0.0162937201
-3.5666666667,0.0166353450
-3.5333333333,0.0169853132
-3.5000000000,0.0173439855
-3.4666666667,0.0177117367
-3.4333333333,0.0180889571
-3.4000000000,0.0184760527
-3.3666666667,0.0188734470
-3.3333333333,0.0192815812
-3.3000000000,0.0197009163
-3.2666666667,0.0201319337
-3.2333333333,0.0205751368
-3.2000000000,0.0210310523
-3.1666666667,0.0215002316
-3.1333333333,0.0219832527
-3.1000000000,0.0224807215
-3.0666666667,0.0229932740
-3.0333333333,0.0235215777
-3.0000000000,0.0240663342
-2.9666666667,0.0246282808
-2.9333333333,0.0252081932
-2.9000000000,0.0258068879
-2.8666666667,0.0264252246
-2.8333333333,0.0270641092
-2.8000000000,0.0277244974
-2.7666666667,0.0284073978
-2.7333333333,0.0291138762
-2.7000000000,0.0298450604
-2.6666666667,0.0306021454
-2.6333333333,0.0313863986
-2.6000000000,0.0321991661
-2.5666666667,0.0330418780
-2.5333333333,0.0339160540
-2.5000000000,0.0348233092
-2.4666666667,0.0357653595
-2.4333333333,0.0367440284
-2.4000000000,0.0377612544
-2.3666666667,0.0388191002
-2.3333333333,0.0399197619
-2.3000000000,0.0410655809
-2.2666666667,0.0422590551
-2.2333333333,0.0435028528
-2.2000000000,0.0447998264
-2.1666666667,0.0461530285
-2.1333333333,0.0475657283
-2.1000000000,0.0490414303
-2.0666666667,0.0505838946
-2.0333333333,0.0521971591
-2.0000000000,0.0538855640
-1.9666666667,0.0556537781
-1.9333333333,0.0575068294
-1.9000000000,0.0594501366
-1.8666666667,0.0614895462
-1.8333333333,0.0636313716
-1.8000000000,0.0658824376
-1.7666666667,0.0682501291
-1.7333333333,0.0707424449
-1.7000000000,0.0733680586
-1.6666666667,0.0761363843
-1.6333333333,0.0790576514
-1.6000000000,0.0821429868
-1.5666666667,0.0854045065
-1.5333333333,0.0888554182
-1.5000000000,0.0925101348
-1.4666666667,0.0963844018
-1.4333333333,0.1004954387
-1.4000000000,0.1048620970
-1.3666666667,0.1095050366
-1.3333333333,0.1144469224
-1.3000000000,0.1197126430
-1.2666666667,0.1253295551
-1.2333333333,0.1313277544
-1.2000000000,0.1377403765
-1.1666666667,0.1446039299
-1.1333333333,0.1519586633
-1.1000000000,0.1598489686
-1.0666666667,0.1683238198
-1.0333333333,0.1774372487
-1.0000000000,0.1872488521
-0.9666666667,0.1978243267
-0.9333333333,0.2092360190
-0.9000000000,0.2215634739
-0.8666666667,0.2348939549
-0.8333333333,0.2493228947
-0.8000000000,0.2649542208
-0.7666666667,0.2819004711
-0.7333333333,0.3002825861
-0.7000000000,0.3202292203
-0.6666666667,0.3418753587
-0.6333333333,0.3653599567
-0.6000000000,0.3908222379
-0.5666666667,0.4183961862
-0.5333333333,0.4482026712
-0.5000000000,0.4803385561
-0.4666666667,0.5148620933
-0.4333333333,0.5517739663
-0.4000000000,0.5909935647
-0.3666666667,0.6323305928
-0.3333333333,0.6754530361
-0.3000000000,0.7198539533
-0.2666666667,0.7648215359
-0.2333333333,0.8094191843
-0.2000000000,0.8524844289
-0.1666666667,0.8926563867
-0.1333333333,0.9284397863
-0.1000000000,0.9583082877
-0.0666666667,0.9808407780
-0.0333333333,0.9948732907
0.0000000000,0.9996399404
0.0333333333,0.9948732907
0.0666666667,0.9808407780
0.1000000000,0.9583082877
0.1333333333,0.9284397863
0.1666666667,0.8926563867
0.2000000000,0.8524844289
0.2333333333,0.8094191843
0.2666666667,0.7648215359
0.3000000000,0.7198539533
0.3333333333,0.6754530361
0.3666666667,0.6323305928
0.4000000000,0.5909935647
0.4333333333,0.5517739663
0.4666666667,0.5148620933
0.5000000000,0.4803385561
0.5333333333,0.4482026712
0.5666666667,0.4183961862
0.6000000000,0.3908222379
0.6333333333,0.3653599567
0.6666666667,0.3418753587
0.7000000000,0.3202292203
0.7333333333,0.3002825861
0.7666666667,0.2819004711
0.8000000000,0.2649542208
0.8333333333,0.2493228947
0.8666666667,0.2348939549
0.9000000000,0.2215634739
0.9333333333,0.2092360190
0.9666666667,0.1978243267
1.0000000000,0.1872488521
1.0333333333,0.1774372487
1.0666666667,0.1683238198
1.1000000000,0.1598489686
1.1333333333,0.1519586633
1.1666666667,0.1446039299
1.2000000000,0.1377403765
1.2333333333,0.1313277544
1.2666666667,0.1253295551
1.3000000000,0.1197126430
1.3333333333,0.1144469224
1.3666666667,0.1095050366
1.4000000000,0.1048620970
1.4333333333,0.1004954387
1.4666666667,0.0963844018
1.5000000000,0.0925101348
1.5333333333,0.0888554182
1.5666666667,0.0854045065
1.6000000000,0.0821429868
1.6333333333,0.0790576514
1.6666666667,0.0761363843
1.7000000000,0.0733680586
1.7333333333,0.0707424449
1.7666666667,0.0682501291
1.8000000000,0.0658824376
1.8333333333,0.0636313716
1.8666666667,0.0614895462
1.9000000000,0.0594501366
1.9333333333,0.0575068294
1.9666666667,0.0556537781
2.0000000000,0.0538855640
2.0333333333,0.0521971591
2.0666666667,0.0505838946
2.1000000000,0.0490414303
2.1333333333,0.0475657283
2.1666666667,0.0461530285
2.2000000000,0.0447998264
2.2333333333,0.0435028528
2.2666666667,0.0422590551
2.3000000000,0.0410655809
2.3333333333,0.0399197619
2.3666666667,0.0388191002
2.4000000000,0.0377612544
2.4333333333,0.0367440284
2.4666666667,0.0357653595
2.5000000000,0.0348233092
2.5333333333,0.0339160540
2.5666666667,0.0330418780
2.6000000000,0.0321991661
2.6333333333,0.0313863986
2.6666666667,0.0306021454
2.7000000000,0.0298450604
2.7333333333,0.0291138762
2.7666666667,0.0284073978
2.8000000000,0.0277244974
2.8333333333,0.0270641092
2.8666666667,0.0264252246
2.9000000000,0.0258068879
2.9333333333,0.0252081932
2.9666666667,0.0246282808
3.0000000000,0.0240663342
3.0333333333,0.0235215777
3.0666666667,0.0229932740
3.1000000000,0.0224807215
3.1333333333,0.0219832527
3.1666666667,0.0215002316
3.2000000000,0.0210310523
3.2333333333,0.0205751368
3.2666666667,0.0201319337
3.3000000000,0.0197009163
3.3333333333,0.0192815812
3.3666666667,0.0188734470
3.4000000000,0.0184760527
3.4333333333,0.0180889571
3.4666666667,0.0177117367
3.5000000000,0.0173439855
3.5333333333,0.0169853132
3.5666666667,0.0166353450
3.6000000000,0.0162937201
3.6333333333,0.0159600911
3.6666666667,0.0156341232
3.7000000000,0.0153154936
3.7333333333,0.0150038908
3.7666666667,0.0146990138
3.8000000000,0.0144005721
3.8333333333,0.0141082848
3.8666666667,0.0138218809
3.9000000000,0.0135410986
3.9333333333,0.0132656858
3.9666666667,0.0129953998
4.0000000000,0.0127300086
4.0333333333,0.0124692909
4.0666666667,0.0122130378
4.1000000000,0.0119610546
4.1333333333,0.0117131630
4.1666666667,0.0114692049
4.2000000000,0.0112290464
4.2333333333,0.0109925847
4.2666666667,0.0107597557
4.3000000000,0.0105305456
4.3333333333,0.0103050052
4.3666666667,0.0100832696
4.4000000000,0.0098655849
4.4333333333,0.0096523427
4.4666666667,0.0094441280
4.5000000000,0.0092417819
4.5333333333,0.0090464863
4.5666666667,0.0088598779
4.6000000000,0.0086841988
4.6333333333,0.0085224961
4.6666666667,0.0083788819
4.7000000000,0.0082588621
4.7333333333,0.0081697364
4.7666666667,0.0081210445
4.8000000000,0.0081249873
4.8333333333,0.0081966490
4.8666666667,0.0083536851
4.9000000000,0.0086149103
4.9333333333,0.0089970181
4.9666666667,0.0095087728
5.0000000000,0.0101429539
