# Generated by QuTiP: 301x2 real matrix in decimal format [',' separated values].
-5.0000000000,0.0103658846
-4.9666666667,0.0105107432
-4.9333333333,0.0106586991
-4.9000000000,0.0108098426
-4.8666666667,0.0109642669
-4.8333333333,0.0111220690
-4.8000000000,0.0112833495
-4.7666666667,0.0114482128
-4.7333333333,0.0116167673
-4.7000000000,0.0117891255
-4.6666666667,0.0119654044
-4.6333333333,0.0121457255
-4.6000000000,0.0123302153
-4.5666666667,0.0125190051
-4.5333333333,0.0127122316
-4.5000000000,0.0129100372
-4.4666666667,0.0131125698
-4.4333333333,0.0133199837
-4.4000000000,0.0135324397
-4.3666666667,0.0137501050
-4.3333333333,0.0139731543
-4.3000000000,0.0142017695
-4.2666666667,0.0144361405
-4.2333333333,0.0146764657
-4.2000000000,0.0149229519
-4.1666666667,0.0151758152
-4.1333333333,0.0154352817
-4.1000000000,0.0157015874
-4.0666666667,0.0159749793
-4.0333333333,0.0162557159
-4.0000000000,0.0165440677
-3.9666666667,0.0168403180
-3.9333333333,0.0171447637
-3.9000000000,0.0174577159
-3.8666666667,0.0177795012
-3.8333333333,0.0181104618
-3.8000000000,0.0184509575
-3.7666666667,0.0188013658
-3.7333333333,0.0191620837
-3.7000000000,0.0195335285
-3.6666666667,0.0199161394
-3.6333333333,0.0203103786
-3.6000000000,0.0207167330
-3.5666666667,0.0211357158
-3.5333333333,0.0215678683
-3.5000000000,0.0220137614
-3.4666666667,0.0224739981
-3.4333333333,0.0229492157
-3.4000000000,0.0234400878
-3.3666666667,0.0239473270
-3.3333333333,0.0244716880
-3.3000000000,0.0250139703
-3.2666666667,0.0255750214
-3.2333333333,0.0261557409
-3.2000000000,0.0267570837
-3.1666666667,0.0273800648
-3.1333333333,0.0280257636
-3.1000000000,0.0286953290
-3.0666666667,0.0293899849
-3.0333333333,0.0301110361
-3.0000000000,0.0308598751
-2.9666666667,0.0316379891
-2.9333333333,0.0324469678
-2.9000000000,0.0332885124
-2.8666666667,0.0341644445
-2.8333333333,0.0350767172
-2.8000000000,0.0360274258
-2.7666666667,0.0370188212
-2.7333333333,0.0380533230
-2.7000000000,0.0391335355
-2.6666666667,0.0402622639
-2.6333333333,0.0414425332
-2.6000000000,0.0426776087
-2.5666666667,0.0439710182
-2.5333333333,0.0453265770
-2.5000000000,0.0467484154
-2.4666666667,0.0482410080
-2.4333333333,0.0498092074
-2.4000000000,0.0514582794
-2.3666666667,0.0531939424
-2.3333333333,0.0550224097
-2.3000000000,0.0569504350
-2.2666666667,0.0589853608
-2.2333333333,0.0611351693
-2.2000000000,0.0634085350
-2.1666666667,0.0658148771
-2.1333333333,0.0683644099
-2.1000000000,0.0710681875
-2.0666666667,0.0739381381
-2.0333333333,0.0769870801
-2.0000000000,0.0802287103
-1.9666666667,0.0836775476
-1.9333333333,0.0873488143
-1.9000000000,0.0912582227
-1.8666666667,0.0954216290
-1.8333333333,0.0998544987
-1.8000000000,0.1045711109
-1.7666666667,0.1095834044
-1.7333333333,0.1148993417
-1.7000000000,0.1205206403
-1.6666666667,0.1264396939
-1.6333333333,0.1326355074
-1.6000000000,0.1390685017
-1.5666666667,0.1456741698
-1.5333333333,0.1523558289
-1.5000000000,0.1589771880
-1.4666666667,0.1653562060
-1.4333333333,0.1712627173
-1.4000000000,0.1764233458
-1.3666666667,0.1805377530
-1.3333333333,0.1833093544
-1.3000000000,0.1844902939
-1.2666666667,0.1839345241
-1.2333333333,0.1816460522
-1.2000000000,0.1778057348
-1.1666666667,0.1727635620
-1.1333333333,0.1669946721
-1.1000000000,0.1610312077
-1.0666666667,0.1553906449
-1.0333333333,0.1505198869
-1.0000000000,0.1467653796
-0.9666666667,0.1443690027
-0.9333333333,0.1434826279
-0.9000000000,0.1441923842
-0.8666666667,0.1465452612
-0.8333333333,0.1505734732
-0.8000000000,0.1563144436
-0.7666666667,0.1638258428
-0.7333333333,0.1731959268
-0.7000000000,0.1845498191
-0.6666666667,0.1980525893
-0.6333333333,0.2139100739
-0.6000000000,0.2323682558
-0.5666666667,0.2537115768
-0.5333333333,0.2782598074
-0.5000000000,0.3063621195
-0.4666666667,0.3383859278
-0.4333333333,0.3746969399
-0.4000000000,0.4156257977
-0.3666666667,0.4614159380
-0.3333333333,0.5121474797
-0.3000000000,0.5676341701
-0.2666666667,0.6272962549
-0.2333333333,0.6900229603
-0.2000000000,0.7540538498
-0.1666666667,0.8169246976
-0.1333333333,0.8755317447
-0.1000000000,0.9263565728
-0.0666666667,0.9658554724
-0.0333333333,0.9909592398
0.0000000000,0.9995750197
0.0333333333,0.9909592398
0.0666666667,0.9658554724
0.1000000000,0.9263565728
0.1333333333,0.8755317447
0.1666666667,0.8169246976
0.2000000000,0.7540538498
0.2333333333,0.6900229603
0.2666666667,0.6272962549
