# Generated by QuTiP: 301x2 real matrix in decimal format [',' separated values].
-5.0000000000,0.0098990248
-4.9666666667,0.0100310063
-4.9333333333,0.0101656358
-4.9000000000,0.0103029844
-4.8666666667,0.0104431257
-4.8333333333,0.0105861354
-4.8000000000,0.0107320923
-4.7666666667,0.0108810774
-4.7333333333,0.0110331749
-4.7000000000,0.0111884716
-4.6666666667,0.0113470577
-4.6333333333,0.0115090263
-4.6000000000,0.0116744739
-4.5666666667,0.0118435004
-4.5333333333,0.0120162093
-4.5000000000,0.0121927081
-4.4666666667,0.0123731078
-4.4333333333,0.0125575239
-4.4000000000,0.0127460759
-4.3666666667,0.0129388878
-4.3333333333,0.0131360884
-4.3000000000,0.0133378112
-4.2666666667,0.0135441950
-4.2333333333,0.0137553837
-4.2000000000,0.0139715270
-4.1666666667,0.0141927803
-4.1333333333,0.0144193051
-4.1000000000,0.0146512694
-4.0666666667,0.0148888479
-4.0333333333,0.0151322221
-4.0000000000,0.0153815813
-3.9666666667,0.0156371222
-3.9333333333,0.0158990496
-3.9000000000,0.0161675770
-3.8666666667,0.0164429266
-3.8333333333,0.0167253303
-3.8000000000,0.0170150297
-3.7666666667,0.0173122766
-3.7333333333,0.0176173339
-3.7000000000,0.0179304760
-3.6666666667,0.0182519892
-3.6333333333,0.0185821728
-3.6000000000,0.0189213390
-3.5666666667,0.0192698147
-3.5333333333,0.0196279412
-3.5000000000,0.0199960757
-3.4666666667,0.0203745919
-3.4333333333,0.0207638811
-3.4000000000,0.0211643529
-3.3666666667,0.0215764365
-3.3333333333,0.0220005816
-3.3000000000,0.0224372599
-3.2666666667,0.0228869660
-3.2333333333,0.0233502191
-3.2000000000,0.0238275641
-3.1666666667,0.0243195736
-3.1333333333,0.0248268491
-3.1000000000,0.0253500230
-3.0666666667,0.0258897605
-3.0333333333,0.0264467617
-3.0000000000,0.0270217636
-2.9666666667,0.0276155426
-2.9333333333,0.0282289168
-2.9000000000,0.0288627492
-2.8666666667,0.0295179501
-2.8333333333,0.0301954804
-2.8000000000,0.0308963551
-2.7666666667,0.0316216468
-2.7333333333,0.0323724895
-2.7000000000,0.0331500833
-2.6666666667,0.0339556985
-2.6333333333,0.0347906806
-2.6000000000,0.0356564560
-2.5666666667,0.0365545372
-2.5333333333,0.0374865297
-2.5000000000,0.0384541383
-2.4666666667,0.0394591747
-2.4333333333,0.0405035655
-2.4000000000,0.0415893607
-2.3666666667,0.0427187436
-2.3333333333,0.0438940405
-2.3000000000,0.0451177323
-2.2666666667,0.0463924667
-2.2333333333,0.0477210716
-2.2000000000,0.0491065694
-2.1666666667,0.0505521933
-2.1333333333,0.0520614045
-2.1000000000,0.0536379114
-2.0666666667,0.0552856906
-2.0333333333,0.0570090100
-2.0000000000,0.0588124536
-1.9666666667,0.0607009500
-1.9333333333,0.0626798022
-1.9000000000,0.0647547220
-1.8666666667,0.0669318663
-1.8333333333,0.0692178788
-1.8000000000,0.0716199346
-1.7666666667,0.0741457906
-1.7333333333,0.0768038405
-1.7000000000,0.0796031760
-1.6666666667,0.0825536545
-1.6333333333,0.0856659745
-1.6000000000,0.0889517585
-1.5666666667,0.0924236457
-1.5333333333,0.0960953948
-1.5000000000,0.0999819975
-1.4666666667,0.1040998056
-1.4333333333,0.1084666714
-1.4000000000,0.1131021041
-1.3666666667,0.1180274432
-1.3333333333,0.1232660505
-1.3000000000,0.1288435239
-1.2666666667,0.1347879327
-1.2333333333,0.1411300779
-1.2000000000,0.1479037790
-1.1666666667,0.1551461876
-1.1333333333,0.1628981307
-1.1000000000,0.1712044819
-1.0666666667,0.1801145605
-1.0333333333,0.1896825557
-1.0000000000,0.1999679703
-0.9666666667,0.2110360739
-0.9333333333,0.2229583529
-0.9000000000,0.2358129337
-0.8666666667,0.2496849490
-0.8333333333,0.2646668009
-0.8000000000,0.2808582589
-0.7666666667,0.2983663041
-0.7333333333,0.3173046030
-0.7000000000,0.3377924520
-0.6666666667,0.3599529849
-0.6333333333,0.3839103763
-0.6000000000,0.4097857026
-0.5666666667,0.4376910515
-0.5333333333,0.4677213976
-0.5000000000,0.4999437177
-0.4666666667,0.5343828273
-0.4333333333,0.5710035246
-0.4000000000,0.6096889082
-0.3666666667,0.6502152605
-0.3333333333,0.6922247537
-0.3000000000,0.7351984919
-0.2666666667,0.7784340030
-0.2333333333,0.8210330228
-0.2000000000,0.8619067657
-0.1666666667,0.8998060698
-0.1333333333,0.9333819210
-0.1000000000,0.9612772051
-0.0666666667,0.9822432931
-0.0333333333,0.9952667392
0.0000000000,0.9996847899
0.0333333333,0.9952667392
0.0666666667,0.9822432931
0.1000000000,0.9612772051
0.1333333333,0.9333819210
0.1666666667,0.8998060698
0.2000000000,0.8619067657
0.2333333333,0.8210330228
0.2666666667,0.7784340030
0.3000000000,0.7351984919
0.3333333333,0.6922247537
0.3666666667,0.6502152605
0.4000000000,0.6096889082
0.4333333333,0.5710035246
0.4666666667,0.5343828273
0.5000000000,0.4999437177
0.5333333333,0.4677213976
0.5666666667,0.4376910515
0.6000000000,0.4097857026
0.6333333333,0.3839103763
0.6666666667,0.3599529849
0.7000000000,0.3377924520
0.7333333333,0.3173046030
0.7666666667,0.2983663041
0.8000000000,0.2808582589
0.8333333333,0.2646668009
0.8666666667,0.2496849490
0.9000000000,0.2358129337
0.9333333333,0.2229583529
0.9666666667,0.2110360739
1.0000000000,0.1999679703
1.0333333333,0.1896825557
1.0666666667,0.1801145605
1.1000000000,0.1712044819
1.1333333333,0.1628981307
1.1666666667,0.1551461876
1.2000000000,0.1479037790
1.2333333333,0.1411300779
1.2666666667,0.1347879327
1.3000000000,0.1288435239
1.3333333333,0.1232660505
1.3666666667,0.1180274432
1.4000000000,0.1131021041
1.4333333333,0.1084666714
1.4666666667,0.1040998056
1.5000000000,0.0999819975
1.5333333333,0.0960953948
1.5666666667,0.0924236457
1.6000000000,0.0889517585
1.6333333333,0.0856659745
1.6666666667,0.0825536545
1.7000000000,0.0796031760
1.7333333333,0.0768038405
1.7666666667,0.0741457906
1.8000000000,0.0716199346
1.8333333333,0.0692178788
1.8666666667,0.0669318663
1.9000000000,0.0647547220
1.9333333333,0.0626798022
1.9666666667,0.0607009500
2.0000000000,0.0588124536
2.0333333333,0.0570090100
2.0666666667,0.0552856906
2.1000000000,0.0536379114
2.1333333333,0.0520614045
2.1666666667,0.0505521933
2.2000000000,0.0491065694
2.2333333333,0.0477210716
2.2666666667,0.0463924667
2.3000000000,0.0451177323
2.3333333333,0.0438940405
2.3666666667,0.0427187436
2.4000000000,0.0415893607
2.4333333333,0.0405035655
2.4666666667,0.0394591747
2.5000000000,0.0384541383
2.5333333333,0.0374865297
2.5666666667,0.0365545372
2.6000000000,0.0356564560
2.6333333333,0.0347906806
2.6666666667,0.0339556985
2.7000000000,0.0331500833
2.7333333333,0.0323724895
2.7666666667,0.0316216468
