# Generated by QuTiP: 401x2 real matrix in decimal format [',' separated values].
-10.0000000000,0.0960968904
-9.9500000000,0.0959647000
-9.9000000000,0.0955093315
-9.8500000000,0.0947746042
-9.8000000000,0.0938115380
-9.7500000000,0.0926751687
-9.7000000000,0.0914211769
-9.6500000000,0.0901024626
-9.6000000000,0.0887657212
-9.5500000000,0.0874480416
-9.5000000000,0.0861735915
-9.4500000000,0.0849506308
-9.4000000000,0.0837694150
-9.3500000000,0.0826019254
-9.3000000000,0.0814045785
-9.2500000000,0.0801247510
-9.2000000000,0.0787108128
-9.1500000000,0.0771235990
-9.1000000000,0.0753458075
-9.0500000000,0.0733859054
-9.0000000000,0.0712751655
-8.9500000000,0.0690593216
-8.9000000000,0.0667882270
-8.8500000000,0.0645068743
-8.8000000000,0.0622496917
-8.7500000000,0.0600383619
-8.7000000000,0.0578823639
-8.6500000000,0.0557811377
-8.6000000000,0.0537269637
-8.5500000000,0.0517079805
-8.5000000000,0.0497110491
-8.4500000000,0.0477243211
-8.4000000000,0.0457393841
-8.3500000000,0.0437527914
-8.3000000000,0.0417667429
-8.2500000000,0.0397887690
-8.2000000000,0.0378305093
-8.1500000000,0.0359059470
-8.1000000000,0.0340295777
-8.0500000000,0.0322148952
-8.0000000000,0.0304733713
-7.9500000000,0.0288139165
-7.9000000000,0.0272427192
-7.8500000000,0.0257633436
-7.8000000000,0.0243769836
-7.7500000000,0.0230827942
-7.7000000000,0.0218782386
-7.6500000000,0.0207594024
-7.6000000000,0.0197212390
-7.5500000000,0.0187577299
-7.5000000000,0.0178619716
-7.4500000000,0.0170262367
-7.4000000000,0.0162420991
-7.3500000000,0.0155007353
-7.3000000000,0.0147934948
-7.2500000000,0.0141127422
-7.2000000000,0.0134528150
-7.1500000000,0.0128107795
-7.1000000000,0.0121866437
-7.0500000000,0.0115828583
-7.0000000000,0.0110032562
-6.9500000000,0.0104518208
-6.9000000000,0.0099316931
-6.8500000000,0.0094446351
-6.8000000000,0.0089909472
-6.7500000000,0.0085696877
-6.7000000000,0.0081790236
-6.6500000000,0.0078165812
-6.6000000000,0.0074797301
-6.5500000000,0.0071657807
-6.5000000000,0.0068721068
-6.4500000000,0.0065962162
-6.4000000000,0.0063357941
-6.3500000000,0.0060887378
-6.3000000000,0.0058531949
-6.2500000000,0.0056276061
-6.2000000000,0.0054107456
-6.1500000000,0.0052017451
-6.1000000000,0.0050000891
-6.0500000000,0.0048055731
-6.0000000000,0.0046182296
-5.9500000000,0.0044382365
-5.9000000000,0.0042658271
-5.8500000000,0.0041012140
-5.8000000000,0.0039445370
-5.7500000000,0.0037958332
-5.7000000000,0.0036550285
-5.6500000000,0.0035219438
-5.6000000000,0.0033963107
-5.5500000000,0.0032777927
-5.5000000000,0.0031660070
-5.4500000000,0.0030605441
-5.4000000000,0.0029609851
-5.3500000000,0.0028669145
-5.3000000000,0.0027779297
-5.2500000000,0.0026936468
-5.2000000000,0.0026137051
-5.1500000000,0.0025377683
-5.1000000000,0.0024655259
-5.0500000000,0.0023966932
-5.0000000000,0.0023310104
-4.9500000000,0.0022682418
-4.9000000000,0.0022081754
-4.8500000000,0.0021506213
-4.8000000000,0.0020954107
-4.7500000000,0.0020423942
-4.7000000000,0.0019914398
-4.6500000000,0.0019424300
-4.6000000000,0.0018952592
-4.5500000000,0.0018498301
-4.5000000000,0.0018060516
-4.4500000000,0.0017638364
-4.4000000000,0.0017230990
-4.3500000000,0.0016837541
-4.3000000000,0.0016457124
-4.2500000000,0.0016088705
-4.2000000000,0.0015730981
-4.1500000000,0.0015382412
-4.1000000000,0.0015041745
-4.0500000000,0.0014708787
-4.0000000000,0.0014384489
-3.9500000000,0.0014070126
-3.9000000000,0.0013766521
-3.8500000000,0.0013473887
-3.8000000000,0.0013192004
-3.7500000000,0.0012920437
-3.7000000000,0.0012658671
-3.6500000000,0.0012406182
-3.6000000000,0.0012162475
-3.5500000000,0.0011927094
-3.5000000000,0.0011699637
-3.4500000000,0.0011479750
-3.4000000000,0.0011267132
-3.3500000000,0.0011061518
-3.3000000000,0.0010862661
-3.2500000000,0.0010670301
-3.2000000000,0.0010484132
-3.1500000000,0.0010303788
-3.1000000000,0.0010128901
-3.0500000000,0.0009959203
-3.0000000000,0.0009794575
-2.9500000000,0.0009634986
-2.9000000000,0.0009480398
-2.8500000000,0.0009330717
-2.8000000000,0.0009185804
-2.7500000000,0.0009045510
-2.7000000000,0.0008909708
-2.6500000000,0.0008778291
-2.6000000000,0.0008651160
-2.5500000000,0.0008528208
-2.5000000000,0.0008409316
-2.4500000000,0.0008294355
-2.4000000000,0.0008183185
-2.3500000000,0.0008075664
-2.3000000000,0.0007971647
-2.2500000000,0.0007871000
-2.2000000000,0.0007773605
-2.1500000000,0.0007679369
-2.1000000000,0.0007588231
-2.0500000000,0.0007500162
-2.0000000000,0.0007415156
-1.9500000000,0.0007333230
-1.9000000000,0.0007254409
-1.8500000000,0.0007178724
-1.8000000000,0.0007106201
-1.7500000000,0.0007036866
-1.7000000000,0.0006970743
-1.6500000000,0.0006907855
-1.6000000000,0.0006848232
-1.5500000000,0.0006791913
-1.5000000000,0.0006738952
-1.4500000000,0.0006689421
-1.4000000000,0.0006643415
-1.3500000000,0.0006601061
-1.3000000000,0.0006562519
-1.2500000000,0.0006527998
-1.2000000000,0.0006497764
-1.1500000000,0.0006472156
-1.1000000000,0.0006451606
-1.0500000000,0.0006436670
-1.0000000000,0.0006428063
-0.9500000000,0.0006426723
-0.9000000000,0.0006433883
-0.8500000000,0.0006451200
-0.8000000000,0.0006480937
-0.7500000000,0.0006526247
-0.7000000000,0.0006591644
-0.6500000000,0.0006683771
-0.6000000000,0.0006812758
-0.5500000000,0.0006994682
-0.5000000000,0.0007256339
-0.4500000000,0.0007645171
-0.4000000000,0.0008252191
-0.3500000000,0.0009273346
-0.3000000000,0.0011209709
-0.2500000000,0.0015688206
-0.2000000000,0.0029773851
-0.1500000000,0.0099048877
-0.1000000000,0.0883736878
-0.0500000000,0.8174865644
0.0000000000,0.9977588890
0.0500000000,0.8109656567
0.1000000000,0.0881287468
0.1500000000,0.0099048874
0.2000000000,0.0029773851
0.2500000000,0.0015688206
0.3000000000,0.0011209709
0.3500000000,0.0009273346
0.4000000000,0.0008252191
0.4500000000,0.0007645171
0.5000000000,0.0007256339
0.5500000000,0.0006994682
0.6000000000,0.0006812758
0.6500000000,0.0006683771
0.7000000000,0.0006591644
0.7500000000,0.0006526247
0.8000000000,0.0006480937
0.8500000000,0.0006451200
0.9000000000,0.0006433883
0.9500000000,0.0006426723
1.0000000000,0.0006428063
1.0500000000,0.0006436670
1.1000000000,0.0006451606
1.1500000000,0.0006472156
1.2000000000,0.0006497764
1.2500000000,0.0006527998
1.3000000000,0.0006562519
1.3500000000,0.0006601061
1.4000000000,0.0006643415
1.4500000000,0.0006689421
1.5000000000,0.0006738952
1.5500000000,0.0006791913
1.6000000000,0.0006848232
1.6500000000,0.0006907855
1.7000000000,0.0006970743
1.7500000000,0.0007036866
1.8000000000,0.0007106201
1.8500000000,0.0007178724
1.9000000000,0.0007254409
1.9500000000,0.0007333230
2.0000000000,0.0007415156
2.0500000000,0.0007500162
2.1000000000,0.0007588231
2.1500000000,0.0007679369
2.2000000000,0.0007773605
2.2500000000,0.0007871000
2.3000000000,0.0007971647
2.3500000000,0.0008075664
2.4000000000,0.0008183185
2.4500000000,0.0008294355
2.5000000000,0.0008409316
2.5500000000,0.0008528208
2.6000000000,0.0008651160
2.6500000000,0.0008778291
2.7000000000,0.0008909708
2.7500000000,0.0009045510
2.8000000000,0.0009185804
2.8500000000,0.0009330717
2.9000000000,0.0009480398
2.9500000000,0.0009634986
3.0000000000,0.0009794575
3.0500000000,0.0009959203
3.1000000000,0.0010128901
3.1500000000,0.0010303788
3.2000000000,0.0010484132
3.2500000000,0.0010670301
3.3000000000,0.0010862661
3.3500000000,0.0011061518
3.4000000000,0.0011267132
3.4500000000,0.0011479750
3.5000000000,0.0011699637
3.5500000000,0.0011927094
3.6000000000,0.0012162475
3.6500000000,0.0012406182
3.7000000000,0.0012658671
3.7500000000,0.0012920437
3.8000000000,0.0013192004
3.8500000000,0.0013473887
3.9000000000,0.0013766521
3.9500000000,0.0014070126
4.0000000000,0.0014384489
4.0500000000,0.0014708787
4.1000000000,0.0015041745
4.1500000000,0.0015382412
4.2000000000,0.0015730981
4.2500000000,0.0016088705
4.3000000000,0.0016457124
4.3500000000,0.0016837541
4.4000000000,0.0017230990
4.4500000000,0.0017638364
4.5000000000,0.0018060516
4.5500000000,0.0018498301
4.6000000000,0.0018952592
4.6500000000,0.0019424300
4.7000000000,0.0019914398
4.7500000000,0.0020423942
4.8000000000,0.0020954107
4.8500000000,0.0021506213
4.9000000000,0.0022081754
4.9500000000,0.0022682418
5.0000000000,0.0023310104
5.0500000000,0.0023966932
5.1000000000,0.0024655259
5.1500000000,0.0025377683
5.2000000000,0.0026137051
5.2500000000,0.0026936468
5.3000000000,0.0027779297
5.3500000000,0.0028669145
5.4000000000,0.0029609851
5.4500000000,0.0030605441
5.5000000000,0.0031660070
5.5500000000,0.0032777927
5.6000000000,0.0033963107
5.6500000000,0.0035219438
5.7000000000,0.0036550285
5.7500000000,0.0037958332
5.8000000000,0.0039445370
5.8500000000,0.0041012140
5.9000000000,0.0042658271
5.9500000000,0.0044382365
6.0000000000,0.0046182296
6.0500000000,0.0048055731
6.1000000000,0.0050000891
6.1500000000,0.0052017451
6.2000000000,0.0054107456
6.2500000000,0.0056276061
6.3000000000,0.0058531949
6.3500000000,0.0060887378
6.4000000000,0.0063357941
6.4500000000,0.0065962162
6.5000000000,0.0068721068
6.5500000000,0.0071657807
6.6000000000,0.0074797301
6.6500000000,0.0078165812
6.7000000000,0.0081790236
6.7500000000,0.0085696877
6.8000000000,0.0089909472
6.8500000000,0.0094446351
6.9000000000,0.0099316931
6.9500000000,0.0104518208
7.0000000000,0.0110032562
7.0500000000,0.0115828583
7.1000000000,0.0121866437
7.1500000000,0.0128107795
7.2000000000,0.0134528150
7.2500000000,0.0141127422
7.3000000000,0.0147934948
7.3500000000,0.0155007353
7.4000000000,0.0162420991
7.4500000000,0.0170262367
7.5000000000,0.0178619716
7.5500000000,0.0187577299
7.6000000000,0.0197212390
7.6500000000,0.0207594024
7.7000000000,0.0218782386
7.7500000000,0.0230827942
7.8000000000,0.0243769836
7.8500000000,0.0257633436
7.9000000000,0.0272427192
7.9500000000,0.0288139165
8.0000000000,0.0304733713
8.0500000000,0.0322148952
8.1000000000,0.0340295777
8.1500000000,0.0359059470
8.2000000000,0.0378305093
8.2500000000,0.0397887690
8.3000000000,0.0417667429
8.3500000000,0.0437527914
8.4000000000,0.0457393841
8.4500000000,0.0477243211
8.5000000000,0.0497110491
8.5500000000,0.0517079805
8.6000000000,0.0537269637
8.6500000000,0.0557811377
8.7000000000,0.0578823639
8.7500000000,0.0600383619
8.8000000000,0.0622496917
8.8500000000,0.0645068743
8.9000000000,0.0667882270
8.9500000000,0.0690593216
9.0000000000,0.0712751655
9.0500000000,0.0733859054
9.1000000000,0.0753458075
9.1500000000,0.0771235990
9.2000000000,0.0787108128
9.2500000000,0.0801247510
9.3000000000,0.0814045785
9.3500000000,0.0826019254
9.4000000000,0.0837694150
9.4500000000,0.0849506308
9.5000000000,0.0861735915
9.5500000000,0.0874480416
9.6000000000,0.0887657212
9.6500000000,0.0901024626
9.7000000000,0.0914211769
9.7500000000,0.0926751687
9.8000000000,0.0938115380
9.8500000000,0.0947746042
9.9000000000,0.0955093315
9.9500000000,0.0959647000
10.0000000000,0.0960968904
