# Generated by QuTiP: 401x2 real matrix in decimal format [',' separated values].
-10.0000000000,0.0782961429
-9.9500000000,0.0777515413
-9.9000000000,0.0769397023
-9.8500000000,0.0758864418
-9.8000000000,0.0746222627
-9.7500000000,0.0731808771
-9.7000000000,0.0715977339
-9.6500000000,0.0699086640
-9.6000000000,0.0681487222
-9.5500000000,0.0663512690
-9.5000000000,0.0645473012
-9.4500000000,0.0627650063
-9.4000000000,0.0610294945
-9.3500000000,0.0593626422
-9.3000000000,0.0577829661
-9.2500000000,0.0563054388
-9.2000000000,0.0549411492
-9.1500000000,0.0536967173
-9.1000000000,0.0525734018
-9.0500000000,0.0515659094
-9.0000000000,0.0506610576
-8.9500000000,0.0498366714
-8.9000000000,0.0490613685
-8.8500000000,0.0482960832
-8.8000000000,0.0474980392
-8.7500000000,0.0466271692
-8.7000000000,0.0456537393
-8.6500000000,0.0445647877
-8.6000000000,0.0433668558
-8.5500000000,0.0420838391
-8.5000000000,0.0407509049
-8.4500000000,0.0394069331
-8.4000000000,0.0380879812
-8.3500000000,0.0368231848
-8.3000000000,0.0356332146
-8.2500000000,0.0345306100
-8.2000000000,0.0335211088
-8.1500000000,0.0326052643
-8.1000000000,0.0317799262
-8.0500000000,0.0310393969
-8.0000000000,0.0303762318
-7.9500000000,0.0297817284
-7.9000000000,0.0292461813
-7.8500000000,0.0287589857
-7.8000000000,0.0283086699
-7.7500000000,0.0278829354
-7.7000000000,0.0274687790
-7.6500000000,0.0270527656
-7.6000000000,0.0266214998
-7.5500000000,0.0261622945
-7.5000000000,0.0256639681
-7.4500000000,0.0251176319
-7.4000000000,0.0245173138
-7.3500000000,0.0238603130
-7.3000000000,0.0231472672
-7.2500000000,0.0223819718
-7.2000000000,0.0215710040
-7.1500000000,0.0207231862
-7.1000000000,0.0198489215
-7.0500000000,0.0189594528
-7.0000000000,0.0180661144
-6.9500000000,0.0171796574
-6.9000000000,0.0163097102
-6.8500000000,0.0154644141
-6.8000000000,0.0146502363
-6.7500000000,0.0138719421
-6.7000000000,0.0131326903
-6.6500000000,0.0124342106
-6.6000000000,0.0117770272
-6.5500000000,0.0111606962
-6.5000000000,0.0105840381
-6.4500000000,0.0100453520
-6.4000000000,0.0095426049
-6.3500000000,0.0090735929
-6.3000000000,0.0086360720
-6.2500000000,0.0082278585
-6.2000000000,0.0078468975
-6.1500000000,0.0074913036
-6.1000000000,0.0071593750
-6.0500000000,0.0068495883
-6.0000000000,0.0065605794
-5.9500000000,0.0062911178
-5.9000000000,0.0060400803
-5.8500000000,0.0058064265
-5.8000000000,0.0055891783
-5.7500000000,0.0053874038
-5.7000000000,0.0052002015
-5.6500000000,0.0050266837
-5.6000000000,0.0048659542
-5.5500000000,0.0047170785
-5.5000000000,0.0045790423
-5.4500000000,0.0044507007
-5.4000000000,0.0043307222
-5.3500000000,0.0042175418
-5.3000000000,0.0041093459
-5.2500000000,0.0040041231
-5.2000000000,0.0038998104
-5.1500000000,0.0037945443
-5.1000000000,0.0036869746
-5.0500000000,0.0035765423
-5.0000000000,0.0034636023
-4.9500000000,0.0033493172
-4.9000000000,0.0032353507
-4.8500000000,0.0031234822
-4.8000000000,0.0030152752
-4.7500000000,0.0029118843
-4.7000000000,0.0028140042
-4.6500000000,0.0027219200
-4.6000000000,0.0026356053
-4.5500000000,0.0025548252
-4.5000000000,0.0024792241
-4.4500000000,0.0024083895
-4.4000000000,0.0023418929
-4.3500000000,0.0022793156
-4.3000000000,0.0022202631
-4.2500000000,0.0021643762
-4.2000000000,0.0021113410
-4.1500000000,0.0020608975
-4.1000000000,0.0020128459
-4.0500000000,0.0019670453
-4.0000000000,0.0019234041
-3.9500000000,0.0018818608
-3.9000000000,0.0018423580
-3.8500000000,0.0018048071
-3.8000000000,0.0017690470
-3.7500000000,0.0017348176
-3.7000000000,0.0017017987
-3.6500000000,0.0016697369
-3.6000000000,0.0016385573
-3.5500000000,0.0016083353
-3.5000000000,0.0015791706
-3.4500000000,0.0015510992
-3.4000000000,0.0015240888
-3.3500000000,0.0014980801
-3.3000000000,0.0014730277
-3.2500000000,0.0014489143
-3.2000000000,0.0014257381
-3.1500000000,0.0014034937
-3.1000000000,0.0013821635
-3.0500000000,0.0013617196
-3.0000000000,0.0013421300
-2.9500000000,0.0013233625
-2.9000000000,0.0013053862
-2.8500000000,0.0012881725
-2.8000000000,0.0012716948
-2.7500000000,0.0012559293
-2.7000000000,0.0012408547
-2.6500000000,0.0012264523
-2.6000000000,0.0012127063
-2.5500000000,0.0011996029
-2.5000000000,0.0011871307
-2.4500000000,0.0011752805
-2.4000000000,0.0011640449
-2.3500000000,0.0011534184
-2.3000000000,0.0011433972
-2.2500000000,0.0011339795
-2.2000000000,0.0011251648
-2.1500000000,0.0011169545
-2.1000000000,0.0011093514
-2.0500000000,0.0011023604
-2.0000000000,0.0010959877
-1.9500000000,0.0010902417
-1.9000000000,0.0010851328
-1.8500000000,0.0010806736
-1.8000000000,0.0010768795
-1.7500000000,0.0010737690
-1.7000000000,0.0010713644
-1.6500000000,0.0010696926
-1.6000000000,0.0010687864
-1.5500000000,0.0010686855
-1.5000000000,0.0010694391
-1.4500000000,0.0010711078
-1.4000000000,0.0010737673
-1.3500000000,0.0010775122
-1.3000000000,0.0010824627
-1.2500000000,0.0010887714
-1.2000000000,0.0010966348
-1.1500000000,0.0011063080
-1.1000000000,0.0011181268
-1.0500000000,0.0011325393
-1.0000000000,0.0011501541
-0.9500000000,0.0011718149
-0.9000000000,0.0011987185
-0.8500000000,0.0012326060
-0.8000000000,0.0012760833
-0.7500000000,0.0013331675
-0.7000000000,0.0014102508
-0.6500000000,0.0015178441
-0.6000000000,0.0016738295
-0.5500000000,0.0019097171
-0.5000000000,0.0022830841
-0.4500000000,0.0029032486
-0.4000000000,0.0039870789
-0.3500000000,0.0059917418
-0.3000000000,0.0099898193
-0.2500000000,0.0190607473
-0.2000000000,0.0450746637
-0.1500000000,0.1442604617
-0.1000000000,0.4911935643
-0.0500000000,0.9045204809
0.0000000000,0.9980313382
0.0500000000,0.9045204809
0.1000000000,0.4911935643
0.1500000000,0.1442604617
0.2000000000,0.0450746637
0.2500000000,0.0190607473
0.3000000000,0.0099898193
0.3500000000,0.0059917418
0.4000000000,0.0039870789
0.4500000000,0.0029032486
0.5000000000,0.0022830841
0.5500000000,0.0019097171
0.6000000000,0.0016738295
0.6500000000,0.0015178441
0.7000000000,0.0014102508
0.7500000000,0.0013331675
0.8000000000,0.0012760833
0.8500000000,0.0012326060
0.9000000000,0.0011987185
0.9500000000,0.0011718149
1.0000000000,0.0011501541
1.0500000000,0.0011325393
1.1000000000,0.0011181268
1.1500000000,0.0011063080
1.2000000000,0.0010966348
1.2500000000,0.0010887714
1.3000000000,0.0010824627
1.3500000000,0.0010775122
1.4000000000,0.0010737673
1.4500000000,0.0010711078
1.5000000000,0.0010694391
1.5500000000,0.0010686855
1.6000000000,0.0010687864
1.6500000000,0.0010696926
1.7000000000,0.0010713644
1.7500000000,0.0010737690
1.8000000000,0.0010768795
1.8500000000,0.0010806736
1.9000000000,0.0010851328
1.9500000000,0.0010902417
2.0000000000,0.0010959877
2.0500000000,0.0011023604
2.1000000000,0.0011093514
2.1500000000,0.0011169545
2.2000000000,0.0011251648
2.2500000000,0.0011339795
2.3000000000,0.0011433972
2.3500000000,0.0011534184
2.4000000000,0.0011640449
2.4500000000,0.0011752805
2.5000000000,0.0011871307
2.5500000000,0.0011996029
2.6000000000,0.0012127063
2.6500000000,0.0012264523
2.7000000000,0.0012408547
2.7500000000,0.0012559293
2.8000000000,0.0012716948
2.8500000000,0.0012881725
2.9000000000,0.0013053862
2.9500000000,0.0013233625
3.0000000000,0.0013421300
3.0500000000,0.0013617196
3.1000000000,0.0013821635
3.1500000000,0.0014034937
3.2000000000,0.0014257381
3.2500000000,0.0014489143
3.3000000000,0.0014730277
3.3500000000,0.0014980801
3.4000000000,0.0015240888
3.4500000000,0.0015510992
3.5000000000,0.0015791706
3.5500000000,0.0016083353
3.6000000000,0.0016385573
3.6500000000,0.0016697369
3.7000000000,0.0017017987
3.7500000000,0.0017348176
3.8000000000,0.0017690470
3.8500000000,0.0018048071
3.9000000000,0.0018423580
3.9500000000,0.0018818608
4.0000000000,0.0019234041
4.0500000000,0.0019670453
4.1000000000,0.0020128459
4.1500000000,0.0020608975
4.2000000000,0.0021113410
4.2500000000,0.0021643762
4.3000000000,0.0022202631
4.3500000000,0.0022793156
4.4000000000,0.0023418929
4.4500000000,0.0024083895
4.5000000000,0.0024792241
4.5500000000,0.0025548252
4.6000000000,0.0026356053
4.6500000000,0.0027219200
4.7000000000,0.0028140042
4.7500000000,0.0029118843
4.8000000000,0.0030152752
4.8500000000,0.0031234822
4.9000000000,0.0032353507
4.9500000000,0.0033493172
5.0000000000,0.0034636023
5.0500000000,0.0035765423
5.1000000000,0.0036869746
5.1500000000,0.0037945443
5.2000000000,0.0038998104
5.2500000000,0.0040041231
5.3000000000,0.0041093459
5.3500000000,0.0042175418
5.4000000000,0.0043307222
5.4500000000,0.0044507007
5.5000000000,0.0045790423
5.5500000000,0.0047170785
5.6000000000,0.0048659542
5.6500000000,0.0050266837
5.7000000000,0.0052002015
5.7500000000,0.0053874038
5.8000000000,0.0055891783
5.8500000000,0.0058064265
5.9000000000,0.0060400803
5.9500000000,0.0062911178
6.0000000000,0.0065605794
6.0500000000,0.0068495883
6.1000000000,0.0071593750
6.1500000000,0.0074913036
6.2000000000,0.0078468975
6.2500000000,0.0082278585
6.3000000000,0.0086360720
6.3500000000,0.0090735929
6.4000000000,0.0095426049
6.4500000000,0.0100453520
6.5000000000,0.0105840381
6.5500000000,0.0111606962
6.6000000000,0.0117770272
6.6500000000,0.0124342106
6.7000000000,0.0131326903
6.7500000000,0.0138719421
6.8000000000,0.0146502363
6.8500000000,0.0154644141
6.9000000000,0.0163097102
6.9500000000,0.0171796574
7.0000000000,0.0180661144
7.0500000000,0.0189594528
7.1000000000,0.0198489215
7.1500000000,0.0207231862
7.2000000000,0.0215710040
7.2500000000,0.0223819718
7.3000000000,0.0231472672
7.3500000000,0.0238603130
7.4000000000,0.0245173138
7.4500000000,0.0251176319
7.5000000000,0.0256639681
7.5500000000,0.0261622945
7.6000000000,0.0266214998
7.6500000000,0.0270527656
7.7000000000,0.0274687790
7.7500000000,0.0278829354
7.8000000000,0.0283086699
7.8500000000,0.0287589857
7.9000000000,0.0292461813
7.9500000000,0.0297817284
8.0000000000,0.0303762318
8.0500000000,0.0310393969
8.1000000000,0.0317799262
8.1500000000,0.0326052643
8.2000000000,0.0335211088
8.2500000000,0.0345306100
8.3000000000,0.0356332146
8.3500000000,0.0368231848
8.4000000000,0.0380879812
8.4500000000,0.0394069331
8.5000000000,0.0407509049
8.5500000000,0.0420838391
8.6000000000,0.0433668558
8.6500000000,0.0445647877
8.7000000000,0.0456537393
8.7500000000,0.0466271692
8.8000000000,0.0474980392
8.8500000000,0.0482960832
8.9000000000,0.0490613685
8.9500000000,0.0498366714
9.0000000000,0.0506610576
9.0500000000,0.0515659094
9.1000000000,0.0525734018
9.1500000000,0.0536967173
9.2000000000,0.0549411492
9.2500000000,0.0563054388
9.3000000000,0.0577829661
9.3500000000,0.0593626422
9.4000000000,0.0610294945
9.4500000000,0.0627650063
9.5000000000,0.0645473012
9.5500000000,0.0663512690
9.6000000000,0.0681487222
9.6500000000,0.0699086640
9.7000000000,0.0715977339
9.7500000000,0.0731808771
9.8000000000,0.0746222627
9.8500000000,0.0758864418
9.9000000000,0.0769397023
9.9500000000,0.0777515413
10.0000000000,0.0782961429
