# Generated by QuTiP: 301x2 real matrix in decimal format [',' separated values].
-5.0000000000,0.0024183422
-4.9666666667,0.0024537772
-4.9333333333,0.0024901039
-4.9000000000,0.0025273391
-4.8666666667,0.0025655017
-4.8333333333,0.0026046127
-4.8000000000,0.0026446946
-4.7666666667,0.0026857721
-4.7333333333,0.0027278708
-4.7000000000,0.0027710179
-4.6666666667,0.0028152414
-4.6333333333,0.0028605702
-4.6000000000,0.0029070343
-4.5666666667,0.0029546645
-4.5333333333,0.0030034928
-4.5000000000,0.0030535521
-4.4666666667,0.0031048768
-4.4333333333,0.0031575026
-4.4000000000,0.0032114667
-4.3666666667,0.0032668080
-4.3333333333,0.0033235670
-4.3000000000,0.0033817859
-4.2666666667,0.0034415091
-4.2333333333,0.0035027825
-4.2000000000,0.0035656542
-4.1666666667,0.0036301742
-4.1333333333,0.0036963948
-4.1000000000,0.0037643704
-4.0666666667,0.0038341579
-4.0333333333,0.0039058164
-4.0000000000,0.0039794080
-3.9666666667,0.0040549972
-3.9333333333,0.0041326515
-3.9000000000,0.0042124416
-3.8666666667,0.0042944413
-3.8333333333,0.0043787277
-3.8000000000,0.0044653816
-3.7666666667,0.0045544877
-3.7333333333,0.0046461344
-3.7000000000,0.0047404146
-3.6666666667,0.0048374256
-3.6333333333,0.0049372695
-3.6000000000,0.0050400532
-3.5666666667,0.0051458893
-3.5333333333,0.0052548958
-3.5000000000,0.0053671969
-3.4666666667,0.0054829231
-3.4333333333,0.0056022116
-3.4000000000,0.0057252072
-3.3666666667,0.0058520621
-3.3333333333,0.0059829368
-3.3000000000,0.0061180007
-3.2666666667,0.0062574324
-3.2333333333,0.0064014209
-3.2000000000,0.0065501654
-3.1666666667,0.0067038770
-3.1333333333,0.0068627790
-3.1000000000,0.0070271080
-3.0666666667,0.0071971145
-3.0333333333,0.0073730645
-3.0000000000,0.0075552405
-2.9666666667,0.0077439425
-2.9333333333,0.0079394897
-2.9000000000,0.0081422217
-2.8666666667,0.0083525008
-2.8333333333,0.0085707129
-2.8000000000,0.0087972705
-2.7666666667,0.0090326143
-2.7333333333,0.0092772158
-2.7000000000,0.0095315802
-2.6666666667,0.0097962495
-2.6333333333,0.0100718054
-2.6000000000,0.0103588740
-2.5666666667,0.0106581289
-2.5333333333,0.0109702971
-2.5000000000,0.0112961634
-2.4666666667,0.0116365772
-2.4333333333,0.0119924584
-2.4000000000,0.0123648061
-2.3666666667,0.0127547060
-2.3333333333,0.0131633412
-2.3000000000,0.0135920025
-2.2666666667,0.0140421006
-2.2333333333,0.0145151802
-2.2000000000,0.0150129346
-2.1666666667,0.0155372234
-2.1333333333,0.0160900901
-2.1000000000,0.0166737830
-2.0666666667,0.0172907769
-2.0333333333,0.0179437973
-2.0000000000,0.0186358464
-1.9666666667,0.0193702319
-1.9333333333,0.0201505989
-1.9000000000,0.0209809662
-1.8666666667,0.0218657677
-1.8333333333,0.0228099016
-1.8000000000,0.0238187872
-1.7666666667,0.0248984335
-1.7333333333,0.0260555187
-1.7000000000,0.0272974848
-1.6666666667,0.0286326469
-1.6333333333,0.0300703209
-1.6000000000,0.0316209706
-1.5666666667,0.0332963779
-1.5333333333,0.0351098390
-1.5000000000,0.0370763921
-1.4666666667,0.0392130788
-1.4333333333,0.0415392483
-1.4000000000,0.0440769075
-1.3666666667,0.0468511263
-1.3333333333,0.0498905033
