mean_photons,prob_state_0,prob_state_1,prob_state_2,prob_state_3,prob_state_4,prob_state_5,prob_state_6,prob_state_7,prob_state_8,prob_state_9,prob_state_10,prob_state_11,prob_state_12,prob_state_13,prob_state_14,prob_state_15,prob_state_16,prob_state_17,prob_state_18,prob_state_19,prob_state_20,prob_state_21,prob_state_22,prob_state_23,prob_state_24,prob_state_25,prob_state_26,prob_state_27,prob_state_28,prob_state_29,prob_state_30,prob_state_31
2.09,0.025012593021471265,1.322469719608381e-05,1.4632593683098016e-05,1.7229907159806503e-05,2.2070671245622295e-05,3.246104171703176e-05,6.594056940781468e-05,0.0008105105927663154,0.19322024392820414,0.0016902337209861258,0.0013405168084847598,0.0014628719335029947,0.0001687487503770153,8.434865575412801e-05,0.00013642735737457638,0.001828799281407734,0.4400687514597798,5.3574858699939434e-05,0.0020275551352295245,0.00012165250298752122,0.001591546117268998,0.00353244600820775,0.0005293504084332733,0.0003010457238097809,0.3256680319961894,7.110257877863264e-05,3.3848038980407794e-05,2.247425476987413e-05,1.7330959556937578e-05,1.4639332169987847e-05,1.3210986858209045e-05,1.2586107541274813e-05
2.03,0.028010930630334035,1.320263848558193e-05,1.8705624981495807e-05,3.651829002007802e-05,0.00018647273552998002,0.0006876672038257086,5.92319708710288e-05,3.9621417913488116e-05,0.21706532953136046,0.0005425147401447306,0.0003195193919577356,7.739147112518195e-05,0.00010287608902248526,0.00158300027651256,0.0011084236636158499,0.00015204545537072416,0.4468825160318778,0.00046037130975651173,0.0005145609987869032,7.775933760331748e-05,6.033689001371401e-05,0.00019444337747379325,0.000724666120002862,0.00018909039563993812,0.30075754675129013,5.374049273953496e-05,2.359449743880158e-05,1.544562185883865e-05,1.207555705263962e-05,1.0503906869307031e-05,9.892207172100057e-06,1.0005373352477257e-05
1.966,0.03602143523603622,4.2309216924302046e-05,0.0008558228027474331,9.398349763628526e-05,5.061259537512566e-05,0.00015969003812758926,0.0007669577526582402,0.00010461958193501951,0.2325183613997363,0.0013038526146214393,0.0009375994553251178,0.00013025379041788415,0.001022597194270126,0.0009526801239209531,4.146673972056615e-05,2.820222107351076e-05,0.45302962085743614,4.069965767196989e-05,8.011908645722872e-05,0.0005083751735953613,0.0006987364031736772,0.0007204849604695536,0.0016071331082009865,0.0007559269527467415,0.2672577707359025,0.00011796842920243057,4.947514344053869e-05,2.9976099440998397e-05,2.1799569413776824e-05,1.7946309347018955e-05,1.6459041644253624e-05,1.7064211330327855e-05
1.889,0.04901052397623777,1.6603428265541343e-05,4.079764766418719e-05,0.0008078411391889887,0.0001081029526168814,3.375469630077543e-05,3.414257690454241e-05,6.58202204881699e-05,0.24738840905154336,0.0013719202928512634,0.00011561650152027561,0.0010137944408424914,0.0007669184860904359,0.00022585522351125623,0.0005277386508237359,0.00038643488226761596,0.4632966232188851,0.0006089741068651746,6.072031073581281e-05,2.5867636889705452e-05,1.5732952759099982e-05,1.1244220675467713e-05,8.833746588072179e-06,7.405206303075043e-06,0.2340065027158867,5.979544826363938e-06,5.686142662764512e-06,5.599406023000838e-06,5.714357387955623e-06,6.066280135281116e-06,6.754622406441148e-06,8.021363851905174e-06
1.839,0.05700336177676175,3.5347240861556136e-06,3.84463791268584e-06,4.352515778854483e-06,5.191877146464254e-06,6.731917472811773e-06,1.1060418725696302e-05,0.0010022185679778896,0.2650226305308466,4.954916966000707e-05,0.0003498091267973137,0.0014200309588043298,8.03314375566338e-05,3.054958646723579e-05,2.4168293391735284e-05,0.0010212997636333547,0.455056738602005,0.0003620121014170948,0.0005460415661894294,0.0017918973101336824,0.00011324365987890956,3.0557179656236216e-05,0.0010152037113942314,1.0084705443548031e-05,0.2150072430104767,5.687825500125821e-06,4.72432250634178e-06,4.10701948372506e-06,3.7079519787390383e-06,3.4602843404604887e-06,3.328704082497989e-06,3.2967424932567094e-06
1.778,0.0700042946196469,4.506593561462789e-06,4.944197082410775e-06,5.724284730354476e-06,7.122725192641318e-06,9.883706268370576e-06,1.664033982662879e-05,4.339882051584598e-05,0.2837594806862173,0.0001342960349173608,3.537520369189422e-05,3.5889789139670325e-05,0.0010119301332080356,0.0002438284512563102,0.0006765559988290604,0.0013559031624689275,0.44153210432273293,6.134134376377269e-05,2.971980540475468e-05,2.5820009567385902e-05,4.1527748621941236e-05,0.0002224154169484276,0.0006340326330424185,0.001031978038265727,0.19902534436083272,1.2467811825615602e-05,8.34645964142751e-06,6.401222327687852e-06,5.33928639056826e-06,4.730020906297959e-06,4.396327681017349e-06,4.260445495153145e-06
1.719,0.07602381084429512,3.564610011614404e-05,7.056668678289266e-05,0.001330469136959059,0.0011952706466685412,0.0011892615343493753,0.0001428117548573371,0.00029997415918315114,0.3039373351775913,0.0005987944766707504,0.001074353137911766,5.41146736166756e-05,5.9744807439050906e-05,0.00020865121075685892,0.0007127937720213503,0.00011129445227045353,0.4343162894852473,0.0014629584956218522,0.0011113597191340825,0.0006824848057362094,0.0012354097281856034,0.0008860944402207434,8.228168433814139e-05,3.9233032780088826e-05,0.1730256234859438,1.9491381192753754e-05,1.6335156040787234e-05,1.4739832263515828e-05,1.4168823281286825e-05,1.446533826441254e-05,1.5735657872584392e-05,1.84363623880466e-05
1.66,0.08901640725359447,2.7726693959807924e-05,6.519972366814354e-05,0.0008113733032677599,0.0005243817681867167,0.0014159576418302934,0.0004012295831193414,0.0005342430347022203,0.32006521045539577,2.9203810270391877e-05,1.917140218938521e-05,1.6484585065362382e-05,1.9840947032257617e-05,4.3722471427312185e-05,0.000765125903380966,0.00012521489202347072,0.4240250146668927,1.2062522702529552e-05,7.917206833241976e-06,6.063654221581101e-06,5.090717971129577e-06,4.5469809740245755e-06,4.25376276242223e-06,4.132764443067161e-06,0.16200413643204192,4.293796898629792e-06,4.580726504193556e-06,5.0448661929327475e-06,5.752233194087387e-06,6.8258528709755555e-06,8.503363533821171e-06,1.1286982850724193e-05
1.603,0.10301303164512927,2.0462220064752857e-05,5.2602409864581465e-05,0.0017959698540682657,0.00011139660199185714,4.31040096421263e-05,5.8743522884915125e-05,0.001025689038499243,0.3373111210500778,0.001351243245605514,0.0011421677269139127,6.597896430110591e-05,0.0010836108518362088,0.0006850881291592152,0.0006841878067368636,0.00047277016427382286,0.402935287747594,0.001062191587536338,5.1702144665792895e-05,0.00016706454156129825,0.0007481612493321513,0.0009724161817633185,5.2234589532552856e-05,1.9842290677174405e-05,0.1450128625992266,1.0033662903535753e-05,8.637612827338721e-06,7.961668461714218e-06,7.757346024276442e-06,7.962272417489455e-06,8.6452367758941e-06,1.0072027653826645e-05
1.537,0.11701397861402808,4.098445245260679e-05,0.0007322858250306495,0.00014064380527003582,2.504826995700817e-05,1.1085382792640252e-05,7.047157627168703e-06,5.632669957341165e-06,0.36400540455371694,6.171344162133983e-06,8.606721440638454e-06,1.6306504732268993e-05,6.66640468336294e-05,0.0008767415369367812,6.122364296382096e-05,0.0008034396935872704,0.3801047613157814,0.0010213596306396513,1.0896487052284756e-05,8.599914665864715e-06,1.62849895967661e-05,0.0009704076079849516,1.0838336813562438e-05,4.679812671515529e-06,0.13400332063827528,2.858236570474085e-06,2.7227487959370606e-06,2.8054683974051122e-06,3.108549015272939e-06,3.7267359910561156e-06,4.9230650758726735e-06,7.442241186637718e-06
